photon energy (eV),n,k
10.0,2.519,0.629
9.0,2.338,0.108
8.0,2.075,0.032
7.0,1.939,0.007
6.0,1.834,0.000
5.5,1.834,0.000
5.0,1.834,0.000
4.9,1.834,0.000
4.8,1.834,0.000
4.7,1.834,0.000
4.6,1.831,0.000
4.5,1.827,0.000
4.4,1.823,0.000
4.3,1.820,0.000
4.2,1.817,0.000
4.1,1.813,0.000
4.0,1.810,0.000
3.9,1.807,0.000
3.8,1.804,0.000
3.7,1.801,0.000
3.6,1.799,0.000
3.5,1.796,0.000
3.4,1.794,0.000
3.3,1.791,0.000
3.2,1.789,0.000
3.1,1.787,0.000
3.0,1.784,0.000
2.9,1.782,0.000
2.8,1.780,0.000
2.7,1.779,0.000
2.6,1.777,0.000
2.5,1.775,0.000
2.4,1.773,0.000
2.3,1.771,0.000
2.2,1.770,0.000
2.1,1.768,0.000
2.0,1.767,0.000
1.9,1.765,0.000
1.8,1.764,0.000
1.7,1.762,0.000
1.6,1.761,0.000
1.5,1.759,0.000
1.4,1.758,0.000
1.3,1.757,0.000
1.2,1.755,0.000
1.1,1.753,0.000
1.0,1.751,0.000
0.9,1.749,0.000
0.8,1.746,0.000
0.7,1.742,0.000
0.6,1.735,0.000
0.5,1.726,0.000
0.48,1.723,0.000
0.47,1.721,0.000
0.46,1.719,0.000
0.45,1.716,0.000
0.43,1.714,0.000
0.42,1.712,0.000
0.41,1.709,0.000
0.40,1.707,0.000
0.38,1.705,0.000
0.37,1.701,0.000
0.36,1.697,0.000
0.35,1.692,0.000
0.33,1.687,0.000
0.32,1.681,0.000
0.31,1.674,0.000
0.30,1.667,0.000
0.29,1.658,0.000
0.27,1.647,0.000
0.26,1.636,0.000
0.25,1.624,0.000
0.24,1.607,0.000
0.2232,1.594,0.002
0.2108,1.571,0.003
0.1984,1.542,0.004
0.1860,1.506,0.004
0.1736,1.459,0.006
0.1612,1.396,0.008
0.1488,1.307,0.011
0.1364,1.174,0.018
0.1240,0.950,0.033
0.1228,0.918,0.035
0.1215,0.884,0.038
0.1203,0.846,0.042
0.1190,0.805,0.046
0.1178,0.759,0.051
0.1166,0.709,0.057
0.1153,0.651,0.066
0.1141,0.585,0.077
0.1128,0.507,0.093
0.1116,0.413,0.121
0.1104,0.298,0.176
0.1091,0.193,0.288
0.1079,0.140,0.419
0.1066,0.117,0.535
0.1054,0.104,0.639
0.1042,0.096,0.734
0.1029,0.092,0.825
0.1017,0.089,0.912
0.1004,0.087,0.998
0.09920,0.086,1.083
0.09796,0.086,1.167
0.09672,0.087,1.253
0.09548,0.089,1.340
0.09424,0.091,1.430
0.09300,0.094,1.523
0.09176,0.098,1.620
0.09052,0.102,1.721
0.08928,0.108,1.830
0.08804,0.116,1.946
0.08680,0.127,2.073
