photon energy (eV),n,k
3.0996051,2.3545198,0
3.0582423,2.3513021,0
3.0169408,2.3477745,0
2.9755969,2.3439317,0
2.9342594,2.3397694,0
2.8929744,2.3352826,0
2.8516538,2.3304675,0
2.810286,2.32532,0
2.7689879,2.3198373,0
2.7276251,2.3140168,0
2.6863153,2.307857,0
2.6449962,2.3013575,0
2.6036708,2.2945187,0
2.5623453,2.2873433,0
2.5209777,2.2798352,0
2.4796841,2.2720013,0
2.4383299,2.2638514,0
2.3970344,2.255399,0
2.3556809,2.2466624,0
2.3143473,2.2376654,0
2.2730207,2.2284405,0
2.2316978,2.2190297,0
2.1903789,2.2094891,0
2.1490338,2.1998947,0
2.1077147,2.1903517,0
2.0664034,2.1810153,0
2.0250585,2.1721547,0
1.9837472,2.1643813,0
1.9424127,2.1574814,0
1.9010733,2.1511502,0
1.8597537,2.1452694,0
1.8184301,2.1397674,0
1.7770927,2.1345942,0
1.7357684,2.1297126,0
1.6944444,2.1250939,0
1.6531227,2.1207144,0
1.6117963,2.116555,0
1.570454,2.1125991,0
1.52914,2.1088333,0
1.4878163,2.1052451,0
1.4464872,2.101824,0
1.405159,2.0985613,0
1.3638275,2.0954485,0
1.3224981,2.0924783,0
1.2811726,2.089644,0
1.2398421,2.0869401,0
