photon energy (eV),n,k

3.0996051,2.3545198,0.81933516
3.0582423,2.3513021,0.7867561
3.0169408,2.3477745,0.75541794
2.9755969,2.3439317,0.72524214
2.9342594,2.3397694,0.69625688
2.8929744,2.3352826,0.66847444
2.8516538,2.3304675,0.64181101
2.810286,2.32532,0.61623293
2.7689879,2.3198373,0.59177858
2.7276251,2.3140168,0.5683319
2.6863153,2.307857,0.5459218
2.6449962,2.3013575,0.52447349
2.6036708,2.2945187,0.50394905
2.5623453,2.2873433,0.48431149
2.5209777,2.2798352,0.46550244
2.4796841,2.2720013,0.44753432
2.4383299,2.2638514,0.43030986
2.3970344,2.255399,0.41384149
2.3556809,2.2466624,0.39804652
2.3143473,2.2376654,0.38292083
2.2730207,2.2284405,0.3684257
2.2316978,2.2190297,0.35452756
2.1903789,2.2094891,0.34119585
2.1490338,2.1998947,0.32839197
2.1077147,2.1903517,0.31610432
2.0664034,2.1810153,0.30430043
2.0250585,2.1721547,0.29294372
1.9837472,2.1643813,0.28202879
1.9424127,2.1574814,0.27151784
1.9010733,2.1511502,0.26139444
1.8597537,2.1452694,0.25164407
1.8184301,2.1397674,0.24224165
1.7770927,2.1345942,0.23316689
1.7357684,2.1297126,0.2244084
1.6944444,2.1250939,0.21594696
1.6531227,2.1207144,0.20776734
1.6117963,2.116555,0.19985351
1.570454,2.1125991,0.1921896
1.52914,2.1088333,0.18477045
1.4878163,2.1052451,0.17757653
1.4464872,2.101824,0.17059682
1.405159,2.0985613,0.16382113
1.3638275,2.0954485,0.15723805
1.3224981,2.0924783,0.15083827
1.2811726,2.089644,0.14461231
1.2398421,2.0869401,0.1385496
