photon energy (eV),n,k
0.09,8.72392,18.8938
0.1,8.57076,18.4077
0.11,8.40051,17.9002
0.12,8.21547,17.3749
0.13,8.018,16.8351
0.14,7.81043,16.2845
0.15,7.59509,15.7265
0.16,7.37432,15.1645
0.17,7.15045,14.6022
0.18,6.92583,14.043
0.19,6.70278,13.4903
0.2,6.48364,12.9478
0.21,6.27075,12.4189
0.22,6.06644,11.907
0.23,5.87305,11.4157
0.24,5.69291,10.9486
0.25,5.52837,10.509
0.26,5.38175,10.1005
0.27,5.25539,9.72657
0.28,5.15162,9.39073
0.29,5.07279,9.09648
0.3,5.02123,8.84729
0.31,4.86193,8.4915
0.32,4.80553,8.3158
0.33,4.74846,7.93778
0.34,4.63929,7.77596
0.35,4.57775,7.61902
0.36,4.51589,7.38396
0.37,4.46013,7.17184
0.38,4.37093,7.02292
0.39,4.32967,6.89886
0.4,4.28719,6.65607
0.41,4.21418,6.55293
0.42,4.16235,6.42593
0.43,4.1246,6.25774
0.44,4.08956,6.12832
0.45,4.03701,6.01941
0.46,4.00904,5.91732
0.47,3.97808,5.73969
0.48,3.9359,5.66865
0.49,3.91185,5.55667
0.5,3.87988,5.41262
0.51,3.86411,5.28375
0.52,3.83151,5.19353
0.53,3.82283,5.11756
0.54,3.81521,4.97095
0.55,3.79922,4.9109
0.56,3.79804,4.83631
0.57,3.79803,4.71997
0.58,3.79837,4.61225
0.59,3.80587,4.55911
0.6,3.81231,4.51439
0.61,3.81826,4.41641
0.62,3.83321,4.3758
0.63,3.84712,4.33901
0.64,3.87128,4.27207
0.65,3.89608,4.21416
0.66,3.91871,4.17954
0.67,3.93323,4.14985
0.68,3.95861,4.08442
0.69,3.9665,4.05862
0.7,3.97342,4.04007
0.71,3.98357,4.01697
0.72,3.99239,3.99034
0.73,3.97616,3.97354
0.74,3.96849,3.95724
0.75,3.94939,3.93941
0.76,3.9338,3.94033
0.77,3.91362,3.93965
0.78,3.88201,3.93884
0.79,3.85547,3.94119
0.8,3.82478,3.90756
0.81,3.80883,3.88825
0.82,3.77689,3.89025
0.83,3.7592,3.89008
0.84,3.73921,3.88976
0.85,3.71626,3.89012
0.86,3.69063,3.88985
0.87,3.67598,3.88877
0.88,3.66354,3.86889
0.89,3.63821,3.85203
0.9,3.6267,3.83935
0.91,3.61328,3.84062
0.92,3.59007,3.8381
0.93,3.56445,3.8178
0.94,3.55012,3.80005
0.95,3.53336,3.79023
0.96,3.50252,3.77869
0.97,3.48794,3.76272
0.98,3.46684,3.73258
0.99,3.4384,3.71377
1,3.41892,3.6929
1.01,3.40389,3.68996
1.02,3.39219,3.67036
1.03,3.36004,3.65408
1.04,3.34205,3.64094
1.05,3.32147,3.63281
1.06,3.30356,3.61456
1.07,3.29275,3.59361
1.08,3.27802,3.59054
1.09,3.2658,3.5499
1.1,3.24747,3.54043
1.11,3.23888,3.54219
1.12,3.22479,3.53359
1.13,3.20437,3.51507
1.14,3.18614,3.49481
1.15,3.17102,3.49096
1.16,3.16309,3.49243
1.17,3.1438,3.48184
1.18,3.13185,3.46415
1.19,3.11837,3.44395
1.2,3.10619,3.44152
1.21,3.08912,3.44216
1.22,3.07439,3.42994
1.23,3.06224,3.39657
1.24,3.03687,3.39173
1.25,3.02525,3.39229
1.26,3.01133,3.3918
1.27,2.99108,3.39125
1.28,2.97254,3.37193
1.29,2.95795,3.35535
1.3,2.94589,3.34107
1.31,2.92041,3.34267
1.32,2.90887,3.34303
1.33,2.89512,3.33579
1.34,2.87274,3.31686
1.35,2.84644,3.29707
1.36,2.82431,3.29174
1.37,2.80981,3.29276
