photon energy (eV),n,k
0.09,6.06169,43.9068
0.1,5.77031,41.8376
0.11,5.49169,39.8603
0.12,5.2255,37.9726
0.13,4.97145,36.172
0.14,4.72923,34.4562
0.15,4.49852,32.8228
0.16,4.27904,31.2694
0.17,4.07046,29.7936
0.18,3.87248,28.3931
0.19,3.6848,27.0654
0.2,3.50711,25.8081
0.21,3.33911,24.619
0.22,3.18048,23.4955
0.23,3.03092,22.4353
0.24,2.89012,21.436
0.25,2.75778,20.4952
0.26,2.63359,19.6106
0.27,2.51725,18.7797
0.28,2.40845,18.0002
0.29,2.30687,17.2697
0.3,2.21222,16.5857
0.31,2.1322,15.8615
0.32,2.06447,15.3191
0.33,1.94866,14.7971
0.34,1.88517,14.1948
0.35,1.82288,13.6733
0.36,1.77408,13.2775
0.37,1.71986,12.8195
0.38,1.67152,12.3818
0.39,1.63149,12.2748
0.4,1.56455,11.8848
0.41,1.5317,11.5198
0.42,1.49737,11.204
0.43,1.46772,10.8922
0.44,1.43801,10.5819
0.45,1.41621,10.3094
0.46,1.398,10.0682
0.47,1.36325,9.75453
0.48,1.34872,9.48471
0.49,1.32894,9.26152
0.5,1.31391,8.98999
0.51,1.30367,8.75793
0.52,1.29724,8.56376
0.53,1.29384,8.34808
0.54,1.29424,8.09958
0.55,1.29437,7.92096
0.56,1.29463,7.69281
0.57,1.29984,7.56143
0.58,1.30463,7.38129
0.59,1.30925,7.20136
0.6,1.31411,7.02232
0.61,1.33102,6.86631
0.62,1.34013,6.77358
0.63,1.35024,6.67076
0.64,1.35987,6.54131
0.65,1.37395,6.40829
0.66,1.38771,6.27463
0.67,1.39989,6.1426
0.68,1.41596,6.05479
0.69,1.42663,5.91592
0.7,1.44181,5.82441
0.71,1.45725,5.73444
0.72,1.46283,5.64538
0.73,1.4702,5.53728
0.74,1.47909,5.41297
0.75,1.49223,5.32488
0.76,1.49807,5.23505
0.77,1.50834,5.14481
0.78,1.51313,5.05439
0.79,1.51803,4.96351
0.8,1.52256,4.90325
0.81,1.52616,4.8394
0.82,1.52541,4.74977
0.83,1.53233,4.66037
0.84,1.54517,4.57074
0.85,1.5584,4.47544
0.86,1.55888,4.45989
0.87,1.55898,4.40975
0.88,1.56279,4.36361
0.89,1.56537,4.27166
0.9,1.57024,4.18036
0.91,1.57528,4.1298
0.92,1.5799,4.05614
0.93,1.58865,3.96763
0.94,1.59771,3.88817
0.95,1.60648,3.84178
0.96,1.62232,3.74903
0.97,1.63313,3.70707
0.98,1.64863,3.61636
0.99,1.65798,3.56475
1,1.67126,3.51986
1.01,1.68693,3.45632
1.02,1.70526,3.3762
1.03,1.74206,3.32977
1.04,1.7632,3.23712
1.05,1.78897,3.1931
1.06,1.81317,3.14746
1.07,1.84054,3.10286
1.08,1.86597,3.02845
1.09,1.88812,2.98056
1.1,1.93698,2.93969
1.11,1.97174,2.89693
1.12,2.00202,2.85312
1.13,2.03661,2.80887
1.14,2.06978,2.76433
1.15,2.0991,2.71985
1.16,2.15875,2.67423
1.17,2.18861,2.67746
1.18,2.22273,2.63356
1.19,2.25754,2.58828
1.2,2.2921,2.57292
1.21,2.32539,2.55358
1.22,2.35469,2.50911
1.23,2.4142,2.46801
1.24,2.44417,2.47041
1.25,2.47798,2.47043
1.26,2.50739,2.47031
1.27,2.54202,2.47015
1.28,2.57159,2.47
1.29,2.59566,2.46991
1.3,2.63781,2.46988
1.31,2.65726,2.46993
1.32,2.67711,2.46999
1.33,2.69687,2.47005
1.34,2.7215,2.47008
1.35,2.74157,2.47005
1.36,2.75733,2.47001
1.37,2.7823,2.46996
1.38,2.79532,2.46994
1.39,2.80996,2.46995
1.4,2.8192,2.46999
1.41,2.83881,2.47004
1.42,2.851,2.47006
1.43,2.86054,2.47005
1.44,2.88227,2.47002
1.45,2.8909,2.46996
1.46,2.901,2.46992
1.47,2.91098,2.46992
1.48,2.92066,2.46996
1.49,2.92995,2.47006
1.5,2.93872,2.4702
1.51,2.95188,2.47041
1.52,2.95616,2.47066
1.53,2.96132,2.46865
1.54,2.96632,2.51218
1.55,2.97116,2.55752
1.56,2.97578,2.57309
1.57,2.97935,2.57304
1.58,2.97902,2.57275
1.59,2.97902,2.57255
1.6,2.97907,2.57245
1.61,2.97908,2.57245
1.62,2.97909,2.57257
1.63,2.97907,2.57281
1.64,2.97844,2.57314
1.65,2.96985,2.5712
1.66,2.96666,2.61475
1.67,2.96659,2.66007
1.68,2.9614,2.67559
1.69,2.95663,2.67549
1.7,2.95206,2.67519
1.71,2.94804,2.67501
1.72,2.93668,2.67495
1.73,2.92854,2.67496
1.74,2.92357,2.67501
1.75,2.91348,2.67505
1.76,2.90397,2.67503
1.77,2.89479,2.67494
1.78,2.88615,2.67474
1.79,2.87001,2.67435
1.8,2.86054,2.6739
1.81,2.85035,2.69333
1.82,2.84044,2.73805
1.83,2.8309,2.77935
1.84,2.82177,2.77708
1.85,2.81315,2.77713
1.86,2.79715,2.77725
1.87,2.78636,2.77737
1.88,2.771,2.77747
1.89,2.75592,2.77753
1.9,2.74567,2.77755
1.91,2.73648,2.77752
1.92,2.72783,2.77748
1.93,2.71202,2.77744
1.94,2.70117,2.77742
1.95,2.68575,2.77743
1.96,2.6707,2.77746
1.97,2.66048,2.7775
1.98,2.64941,2.77752
1.99,2.63655,2.77752
2,2.61597,2.77749
2.01,2.5979,2.77744
