photon energy (eV),n,k
1.20,1.6111609,0
1.25,1.6126636,0
1.30,1.6142278,0
1.35,1.6158532,0
1.40,1.6175401,0
1.45,1.6192886,0
1.5,1.6210983,0
1.55,1.6229695,0
1.6,1.6249021,0
1.65,1.6268961,0
1.7,1.6289517,0
1.75,1.6310686,0
1.80,1.6332471,0
1.85,1.635487,0
1.90,1.6377884,0
1.95,1.6401514,0
2.00,1.6425757,0
2.05,1.6450617,0
2.10,1.6476092,0
2.15,1.6502182,0
2.20,1.6528888,0
2.25,1.6556209,0
2.30,1.6584146,0
2.35,1.6612699,0
2.40,1.6641868,0
2.45,1.6671653,0
2.50,1.6702054,0
2.55,1.6733072,0
2.60,1.6764706,0
2.65,1.6796956,0
2.70,1.6829824,0
2.75,1.6863308,0
2.80,1.689741,0
2.85,1.6932129,0
2.90,1.6967465,0
2.95,1.7003418,0
3.00,1.7039989,0
3.05,1.7077178,0
3.10,1.7114985,0
3.15,1.715341,0
3.20,1.7192453,0
3.25,1.7232115,0
3.30,1.7272396,0
3.35,1.7313294,0
3.40,1.7354813,0
3.45,1.7396951,0
3.50,1.7439706,0
3.55,1.7483083,0
3.60,1.7527078,0
3.65,1.7571695,0
3.70,1.761693,0
3.75,1.7662786,0
3.80,1.7709264,0
3.85,1.775636,0
3.90,1.7804078,0
3.95,1.7852417,0
4.00,1.7901378,0
4.05,1.7950959,0
4.09,1.8001162,0
4.15,1.8051988,0
4.20,1.8103435,0
