photon energy (eV),n,k
1.2,1.6111609,3.5836166e-008
1.25,1.6126636,8.1910194e-008
1.3,1.6142278,1.7568624e-007
1.35,1.6158532,3.561149e-007
1.4,1.6175401,6.863155e-007
1.45,1.6192886,1.2641759e-006
1.5,1.6210983,2.2356564e-006
1.55,1.6229695,3.8109088e-006
1.6,1.6249021,6.2831309e-006
1.65,1.6268961,1.0049923e-005
1.7,1.6289517,1.5636897e-005
1.75,1.6310686,2.3722872e-005
1.8,1.6332471,3.5166366e-005
1.85,1.635487,5.1032515e-005
1.9,1.6377884,7.2619718e-005
1.95,1.6401514,0.00010148589
2,1.6425757,0.0001394726
2.05,1.6450617,0.00018872802
2.0999999,1.6476092,0.00025172668
2.1500001,1.6502182,0.00033128698
2.2,1.6528888,0.00043058346
2.25,1.6556209,0.00055315928
2.3,1.6584146,0.00070293137
2.3499999,1.6612699,0.00088419381
2.4000001,1.6641868,0.0011016179
2.45,1.6671653,0.0013602441
2.5,1.6702054,0.001743797
2.55,1.6733072,0.0026080718
2.5999999,1.6764706,0.0033196458
2.6500001,1.6796956,0.0028969974
2.7,1.6829824,0.0018668374
2.75,1.6863308,0.0017222806
2.8,1.689741,0.0021328861
2.8499999,1.6932129,0.00280204
2.9000001,1.6967465,0.0028672446
2.95,1.7003418,0.0022656571
3,1.7039989,0.001666796
3.05,1.7077178,0.0021123625
3.0999999,1.7114985,0.0034191464
3.1500001,1.715341,0.0041818181
3.2,1.7192453,0.004221986
3.25,1.7232115,0.0043643103
3.3,1.7272396,0.0055112266
3.3499999,1.7313294,0.0074811815
3.4000001,1.7354813,0.0091124112
3.45,1.7396951,0.010228705
3.5,1.7439706,0.011500173
3.55,1.7483083,0.01324135
3.5999999,1.7527078,0.015296662
3.6500001,1.7571695,0.017157996
3.7,1.761693,0.018581189
3.75,1.7662786,0.019943478
3.8,1.7709264,0.021877471
3.8499999,1.775636,0.024313975
3.9000001,1.7804078,0.02706147
3.95,1.7852417,0.030052723
4,1.7901378,0.033159461
4.0500002,1.7950959,0.036351286
4.0900002,1.8001162,0.039259735
4.1500001,1.8051988,0.042920399
4.1999998,1.8103435,0.042920399
