photon energy (eV),n,k
1.2,1.6111609,3.9839087e-008
1.25,1.6126636,9.1059611e-008
1.3,1.6142278,1.9531049e-007
1.35,1.6158532,3.9589312e-007
1.4,1.6175401,7.6297732e-007
1.45,1.6192886,1.4053851e-006
1.5,1.6210983,2.4853805e-006
1.55,1.6229695,4.2365896e-006
1.6,1.6249021,6.9849602e-006
1.65,1.6268961,1.1172505e-005
1.7,1.6289517,1.7383547e-005
1.75,1.6310686,2.6372729e-005
1.8,1.6332471,3.9094466e-005
1.85,1.635487,5.6732875e-005
1.9,1.6377884,8.0731377e-005
1.95,1.6401514,0.00011282192
2,1.6425757,0.00015505178
2.05,1.6450617,0.00020980905
2.0999999,1.6476092,0.00027984468
2.1500001,1.6502182,0.00036829192
2.2,1.6528888,0.00047867987
2.25,1.6556209,0.00061494746
2.3,1.6584146,0.0007814492
2.3499999,1.6612699,0.00098295871
2.4000001,1.6641868,0.0012246693
2.45,1.6671653,0.001512184
2.5,1.6702054,0.0023207751
2.55,1.6733072,0.0033538241
2.5999999,1.6764706,0.0037292088
2.6500001,1.6796956,0.003545298
2.7,1.6829824,0.0041236212
2.75,1.6863308,0.0082405517
2.8,1.689741,0.015852358
2.8499999,1.6932129,0.02557797
2.9000001,1.6967465,0.031410746
2.95,1.7003418,0.032314133
3,1.7039989,0.034227595
3.05,1.7077178,0.037130211
3.0999999,1.7114985,0.036271777
3.1500001,1.715341,0.033524059
3.2,1.7192453,0.032544237
3.25,1.7232115,0.032432027
3.3,1.7272396,0.033520721
3.3499999,1.7313294,0.036429714
3.4000001,1.7354813,0.040838435
3.45,1.7396951,0.04522996
3.5,1.7439706,0.048619196
3.55,1.7483083,0.050891992
3.5999999,1.7527078,0.052020084
3.6500001,1.7571695,0.051893704
3.7,1.761693,0.05078385
3.75,1.7662786,0.049022503
3.8,1.7709264,0.047199927
3.8499999,1.775636,0.045640878
3.9000001,1.7804078,0.044265129
3.95,1.7852417,0.043221794
4,1.7901378,0.04279701
4.0500002,1.7950959,0.043601662
4.0900002,1.8001162,0.045464501
4.1500001,1.8051988,0.048541795
4.1999998,1.8103435,0.048541795
