photon energy (eV),n,k
0.5,3.442753,0
0.52,3.444062,0
0.54,3.44488,0
0.56,3.445479,0
0.58,3.446129,0
0.6,3.4471,0
0.62,3.44904,0
0.64,3.451411,0
0.66,3.453973,0
0.68,3.456644,0
0.7,3.4595,0
0.72,3.462537,0
0.74,3.46575,0
0.76,3.469135,0
0.78,3.472688,0
0.8,3.476412,0
0.82,3.480319,0
0.84,3.484381,0
0.86,3.488588,0
0.88,3.492921,1e-006
0.9,3.497361,3.1e-005
0.92,3.501862,0.000169
0.94,3.506463,0.000354
0.96,3.511174,0.000562
0.98,3.516009,0.000778
1,3.520992,0.000999
1.02,3.52619,0.001212
1.04,3.531515,0.001415
1.06,3.536931,0.00161
1.08,3.542401,0.001787
1.1,3.547893,0.001926
1.12,3.553338,0.001982
1.14,3.55878,0.002006
1.16,3.564235,0.00202
1.18,3.569703,0.002045
1.2,3.575166,0.002101
1.22,3.58059,0.002241
1.24,3.586017,0.002419
1.26,3.591487,0.002618
1.28,3.596996,0.002825
1.3,3.6025,0.003033
1.32,3.607848,0.003216
1.34,3.613284,0.003396
1.36,3.618902,0.003583
1.38,3.624843,0.00378
1.4,3.631298,0.003987
1.42,3.638728,0.004198
1.44,3.64667,0.004426
1.46,3.654796,0.004688
1.48,3.663095,0.004982
1.5,3.671862,0.005288
1.52,3.68094,0.00561
1.54,3.687704,0.006116
1.56,3.697085,0.006634
1.58,3.705245,0.007187
1.6,3.713752,0.007719
1.62,3.720912,0.008231
1.64,3.727585,0.008769
1.66,3.736285,0.00934
1.68,3.744932,0.009938
1.7,3.752178,0.010452
1.72,3.760457,0.010861
1.74,3.768411,0.011365
1.76,3.778012,0.011911
1.78,3.78732,0.012507
1.8,3.796461,0.013035
1.82,3.805374,0.013466
1.84,3.815103,0.014041
1.86,3.825729,0.01495
1.88,3.836746,0.015719
1.9,3.84675,0.016363
1.92,3.858313,0.016782
1.94,3.870259,0.01771
1.96,3.881481,0.019537
1.98,3.89307,0.021469
2,3.90623,0.022133
2.02,3.918571,0.023358
2.04,3.931155,0.024566
