photon energy (eV),n,k
6.888889,1.20774,2.065205
6.526316,1.316755,2.260065
6.2,1.48,2.45
5.904762,1.720912,2.598338
5.636364,2.016951,2.66775
5.391304,2.321471,2.604213
5.166667,2.54161,2.400758
4.96,2.572579,2.154195
4.769231,2.480464,2.088274
4.592593,2.414541,2.052975
4.428571,2.372254,2.04366
4.275862,2.351044,2.055692
4.133333,2.348354,2.084435
4,2.361625,2.125252
3.875,2.388301,2.173506
3.757576,2.425822,2.224561
3.647059,2.471636,2.273829
3.542857,2.52297,2.313705
3.444444,2.576122,2.323725
3.351351,2.630314,2.323869
3.263158,2.68343,2.31562
3.179487,2.733411,2.300048
3.1,2.776369,2.27817
3.02439,2.805519,2.250694
2.952381,2.827264,2.219278
2.883721,2.841735,2.185115
2.818182,2.848885,2.149456
2.755556,2.848305,2.114728
2.695652,2.839252,2.084477
2.638298,2.823172,2.054883
2.583333,2.80048,2.025856
2.530612,2.771415,1.997324
2.48,2.737603,1.967574
2.431373,2.700764,1.934722
2.384615,2.657433,1.903712
2.339623,2.6069,1.875862
2.296296,2.548706,1.852421
2.254545,2.47794,1.834908
2.214286,2.391179,1.824749
2.175439,2.298247,1.822568
2.137931,2.201368,1.829451
2.101695,2.102607,1.846289
2.066667,2.006822,1.877807
2.032787,1.91713,1.926347
2,1.830121,1.985327
1.968254,1.746458,2.053735
1.9375,1.666745,2.130431
1.907692,1.591944,2.215719
1.878788,1.522716,2.308684
1.850746,1.459061,2.405752
1.823529,1.401485,2.505086
1.797101,1.350147,2.605323
1.771429,1.308842,2.70028
1.746479,1.277696,2.788593
1.722222,1.251963,2.875185
1.69863,1.230646,2.96012
1.675676,1.212715,3.043608
1.653333,1.19474,3.12641
1.631579,1.176222,3.208536
1.61039,1.159275,3.289673
1.589744,1.143788,3.369617
1.56962,1.129663,3.448425
1.55,1.117038,3.525918
1.530864,1.105745,3.602155
1.512195,1.095448,3.677328
1.493976,1.085986,3.751492
1.47619,1.077196,3.824705
1.458824,1.068523,3.896868
1.44186,1.06003,3.968127
1.425287,1.051964,4.038717
1.409091,1.04432,4.108688
1.393258,1.037069,4.178371
1.377778,1.030223,4.247684
1.362637,1.023604,4.319156
1.347826,1.017208,4.392921
1.333333,1.011101,4.468182
1.319149,1.005343,4.544141
1.305263,1,4.62
1.291667,0.99644,4.687176
1.27835,0.993438,4.752549
1.265306,0.990878,4.816387
1.252525,0.988645,4.878958
1.24,0.986624,4.940531
1.227723,0.984698,5.001373
1.215686,0.982751,5.061754
1.203884,0.980669,5.121941
1.192308,0.976805,5.185
1.180952,0.971979,5.249489
1.169811,0.966894,5.31418
1.158878,0.961601,5.379036
1.148148,0.956152,5.444019
1.137615,0.950599,5.50909
1.127273,0.944993,5.574213
1.117117,0.939386,5.639348
1.107143,0.933831,5.704458
1.097345,0.928819,5.768796
1.087719,0.924996,5.831369
1.078261,0.921325,5.893892
1.068966,0.917773,5.956459
1.059829,0.914312,6.019166
1.050847,0.910909,6.082107
1.042017,0.907535,6.145379
1.033333,0.904157,6.209074
1.024793,0.900746,6.273289
1.016393,0.89727,6.338118
1.00813,0.893698,6.403657
1,0.89,6.47
0.992,0.885982,6.53822
0.984127,0.881984,6.606184
0.976378,0.878062,6.67312
0.96875,0.874242,6.738704
0.9612403,0.870494,6.803601
0.9538462,0.866816,6.868038
0.9465649,0.863201,6.932237
0.9393939,0.859577,6.996549
0.9323308,0.855398,7.06216
0.9253731,0.851392,7.127992
0.9185185,0.847688,7.194033
0.9117647,0.844412,7.260278
0.9051095,0.841691,7.326716
0.8985507,0.839975,7.393406
0.8920863,0.84031,7.460529
0.8857143,0.841317,7.527765
0.8794326,0.842869,7.595052
0.8732395,0.844837,7.66233
0.8671328,0.847093,7.729535
0.8611111,0.849509,7.796607
0.8551724,0.850901,7.863115
0.849315,0.852037,7.929311
0.8435374,0.853233,7.995288
0.8378378,0.854536,8.061046
0.8322148,0.855996,8.126584
0.8266667,0.857661,8.191904
0.821192,0.859581,8.257007
0.8157895,0.862505,8.321619
0.8104575,0.865905,8.385966
0.8051948,0.869559,8.450153
0.8,0.87342,8.514217
0.7948718,0.877442,8.578197
0.7898089,0.881578,8.642129
0.7848101,0.885779,8.706051
0.7798742,0.89,8.77
0.775,0.893536,8.834834
0.7701864,0.897043,8.899713
0.7654321,0.900533,8.964601
0.7607362,0.904019,9.029461
0.7560976,0.907515,9.094255
0.7515152,0.911031,9.15895
0.7469879,0.914582,9.223506
0.742515,0.91818,9.287887
0.7380952,0.922005,9.3516
0.7337278,0.926066,9.414623
0.7294118,0.930183,9.477437
0.7251462,0.934345,9.540071
0.7209302,0.93854,9.602554
0.716763,0.942755,9.664919
0.7126437,0.94698,9.727194
0.7085714,0.9512,9.789409
0.7045454,0.955406,9.851594
0.700565,0.959584,9.91378
0.6966292,0.963312,9.976133
0.6927374,0.966957,10.03856
0.6888889,0.970578,10.10106
0.6850829,0.974189,10.16366
0.6813187,0.977805,10.22638
0.6775956,0.98144,10.28924
0.6739131,0.985108,10.35226
0.6702703,0.988823,10.41547
0.6666667,0.992601,10.47888
0.6631016,0.996455,10.54252
0.6595744,1.000428,10.60661
0.6560847,1.00477,10.67284
0.6526316,1.009221,10.73929
0.6492147,1.013784,10.8059
0.6458333,1.018459,10.87258
0.642487,1.023247,10.93927
0.6391752,1.028149,11.00589
0.6358975,1.033165,11.07236
0.6326531,1.038297,11.13862
0.6294416,1.043546,11.20459
0.6262626,1.048912,11.27019
0.6231156,1.054396,11.33535
0.62,1.06,11.4
0.6169154,1.066018,11.46087
0.6138614,1.072153,11.52113
0.6108375,1.078394,11.58081
0.6078432,1.084733,11.63997
0.6048781,1.091159,11.69863
0.6019418,1.097664,11.75685
0.5990338,1.104237,11.81465
0.5961539,1.110869,11.87209
0.5933014,1.11755,11.92919
0.5904762,1.12427,11.98601
0.5876777,1.131021,12.04258
0.5849057,1.137792,12.09894
0.5821596,1.144574,12.15514
0.5794392,1.151275,12.21125
0.5767442,1.157642,12.26744
0.5740741,1.163998,12.32359
0.5714286,1.170342,12.37972
0.5688074,1.176678,12.43587
0.56621,1.183005,12.49207
0.5636364,1.189327,12.54836
0.561086,1.195644,12.60477
0.5585586,1.201958,12.66134
0.5560538,1.20827,12.71811
0.5535714,1.214582,12.77509
0.5511111,1.220896,12.83234
0.5486726,1.227212,12.88988
0.5462555,1.233533,12.94775
0.5438597,1.23986,13.00598
0.5414847,1.246195,13.06462
0.5391304,1.252539,13.12368
0.5367965,1.258893,13.18321
0.5344828,1.265259,13.24324
0.5321888,1.271639,13.30381
0.5299146,1.278034,13.36495
0.5276596,1.284446,13.42669
0.5254237,1.290875,13.48907
0.5232068,1.297325,13.55212
0.5210084,1.303795,13.61588
0.5188285,1.310289,13.68039
0.5166667,1.316806,13.74567
0.5145229,1.323349,13.81176
0.5123967,1.32992,13.8787
0.5102881,1.336519,13.94651
0.5081967,1.343149,14.01524
0.5061225,1.34981,14.08492
0.504065,1.356505,14.15559
0.5020243,1.363234,14.22727
0.5,1.37,14.3
