photon energy (eV),n,k
10.0,0.993,0.604
9.5,1.00,0.625
9.0,1.01,0.645
8.5,1.01,0.691
8.0,1.02,0.763
7.5,1.02,0.810
7.0,1.03,0.873
6.5,1.06,0.947
6.02,1.15,1.21
5.74,1.22,1.22
5.49,1.24,1.19
5.25,1.28,1.20
5.00,1.24,1.21
4.73,1.19,1.24
4.49,1.15,1.31
4.25,1.07,1.40
4.03,1.03,1.59
3.80,1.11,1.83
3.60,1.24,1.96
3.40,1.37,2.06
3.20,1.50,2.12
3.00,1.59,2.17
2.80,1.68,2.25
2.60,1.75,2.34
2.40,1.81,2.47
2.20,1.92,2.67
2.00,2.11,2.88
1.90,2.22,2.99
1.80,2.36,3.11
1.70,2.54,3.23
1.60,2.74,3.30
1.50,2.98,3.32
1.40,3.17,3.28
1.30,3.28,3.25
1.20,3.35,3.30
1.10,3.47,3.40
1.00,3.62,3.52
0.90,3.80,3.65
0.80,4.04,3.82
0.70,4.38,3.89
0.60,4.71,3.77
0.50,4.43,3.22
0.12,3.9,19.8
0.10,5.2,24.4
