photon energy (eV),n,k
0.82666665,2.71,0
0.83221477,2.7112999,0
0.83783782,2.7126,0
0.84353739,2.7138,0
0.84931505,2.7149,0
0.8551724,2.7158999,0
0.8611111,2.7168,0
0.86713284,2.7177,0
0.87323946,2.7184999,0
0.87943262,2.7193,0
0.88571429,2.72,0
0.89208633,2.7207,0
0.89855075,2.7212999,0
0.90510947,2.7219,0
0.91176468,2.7225001,0
0.91851854,2.723,0
0.92537314,2.7235,0
0.93233085,2.724,0
0.93939394,2.7244999,0
0.94656491,2.7249999,0
0.95384616,2.7255001,0
0.96124029,2.7260001,0
0.96875,2.7265,0
0.97637796,2.727,0
0.98412699,2.7275,0
0.99199998,2.7281001,0
1,2.7286999,0
1.0081301,2.7293,0
1.0163934,2.73,0
1.0247934,2.7309999,0
1.0333333,2.7319,0
1.0420169,2.7328999,0
1.0508474,2.7339001,0
1.0598291,2.7349,0
1.0689656,2.7360001,0
1.0782609,2.737,0
1.0877193,2.7379999,0
1.0973451,2.7390001,0
1.1071428,2.74,0
1.1171172,2.7412,0
1.1272727,2.7423,0
1.1376147,2.7435,0
1.1481482,2.7444999,0
1.1588784,2.7456,0
1.1698114,2.7465,0
1.1809524,2.7474,0
1.1923077,2.7481999,0
1.2038835,2.7488,0
1.2156863,2.7493999,0
1.2277228,2.7498,0
1.24,2.75,0
1.2525252,2.7490001,0
1.2653061,2.75,0
1.2783505,2.7550001,0
1.2916666,2.76,0
1.3052632,2.7606001,0
1.3191489,2.76,0
1.3333334,2.7593999,0
1.3478261,2.76,0
1.3626374,2.7650001,0
1.3777778,2.77,0
1.3932585,2.77,0
1.4090909,2.77,0
1.4252874,2.7750001,0
1.4418604,2.78,0
1.4588236,2.78,0
1.4761904,2.78,0
1.4939759,2.7850001,0
1.5121951,2.79,0
1.5308642,2.79,0
1.55,2.79,0
1.5696203,2.7944,0
1.5897436,2.8,0
1.6103896,2.8055999,0
1.6315789,2.8099999,0
1.6533333,2.8099999,0
1.6756756,2.8099999,0
1.6986301,2.8144,0
1.7222222,2.8199999,0
1.7464789,2.825,0
1.7714286,2.8299999,0
1.7971015,2.835,0
1.8235294,2.8399999,0
1.8507463,2.8443999,0
1.8787879,2.8499999,0
1.9076923,2.8599999,0
1.9375,2.8699999,0
1.968254,2.875,0
2,2.8800001,0
2.0327868,2.8894,0
2.0666666,2.9000001,0
2.1016948,2.9100001,0
2.1379311,2.9200001,0
2.1754386,2.9294,0
2.2142856,2.9400001,0
2.2545455,2.9544001,0
2.2962964,2.97,0
2.3396227,2.9849999,0
2.3846154,3,0
2.4313726,3.0137999,0
2.48,3.03,0
2.5306122,3.0538001,0
2.5833333,3.0799999,0
2.6382978,3.1041,0
2.6956522,3.1300001,0
2.7555556,3.1405001,0
2.8181818,3.1494,0
2.8837209,3.1624,0
2.9523809,3.1856,0
3.0243902,3.2248001,0
3.0999999,3.2860999,0
3.1794872,3.3752999,0
3.2631578,3.4984,0
3.3513513,3.6612999,0.033
3.4444444,3.8699999,0.25099999
3.5428572,4.4773002,0.65079999
3.6470587,4.9686999,1.0926
3.7575758,5.2911,1.5698
3.875,5.3913002,2.0759001
4,5.2353001,2.7344
4.1333332,4.7315998,3.2802999
4.2758622,3.8348999,3.5346999
4.4285712,3.3552999,3.5606
4.5925927,1.9519,3.4317999
4.7692308,1.6273,3.1974001
4.96,1.365,2.8473001
5.1666665,1.3626,2.4535
5.3913045,1.4426,2.0840001
5.6363635,1.4328001,1.8063
5.9047618,1.46,1.65
6.1999998,1.5358,1.6957999
6.5263157,1.5348001,1.8312
6.8888888,1.3702,1.998
