photon energy (eV),n,k

10.0,0.459,1.14
9.5,0.497,1.24
9.0,0.543,1.35
8.5,0.597,1.47
8.0,0.660,1.60
7.5,0.735,1.74
7.0,0.832,1.89
6.5,0.951,2.07
6.0,1.11,2.28
5.5,1.35,2.51
5.0,1.69,2.76
4.8,1.86,2.85
4.6,2.07,2.93
4.4,2.3,2.99
4.2,2.56,3.04
4.0,2.87,3.06
3.8,3.20,3.00
3.6,3.55,2.88
3.5,3.75,2.79
3.4,3.90,2.66
3.2,4.17,2.38
3.0,4.38,2.02
2.8,4.47,1.64
2.6,4.49,1.28
2.5,4.47,1.12
2.4,4.46,.969
2.2,4.36,.69
2.0,4.23,.461
1.9,4.17,.363
1.8,4.09,.271
1.7,4.01,.199
1.6,3.93,.136
1.5,3.86,.0812
1.4,3.77,.0401
1.3,3.68,.068
1.2,3.61,.055
1.1,3.57,.042
1.0,3.54,.0286
0.9,3.50,.0199
0.8,3.48,0.00933
0.7,3.45,0.00688
0.6,3.44,0.00285
0.5,3.87,0.00285
