photon energy (eV),n,k
0.82666665,2.4546902,0
0.83221477,2.4550104,0
0.83783782,2.4553373,0
0.84353739,2.4556713,0
0.84931505,2.4560125,0
0.8551724,2.4563611,0
0.8611111,2.4567173,0
0.86713284,2.4570816,0
0.87323946,2.4574535,0
0.87943262,2.457834,0
0.88571429,2.4582231,0
0.89208633,2.458621,0
0.89855075,2.4590282,0
0.90510947,2.4594445,0
0.91176468,2.4598708,0
0.91851854,2.4603069,0
0.92537314,2.4607534,0
0.93233085,2.4612105,0
0.93939394,2.4616787,0
0.94656491,2.4621584,0
0.95384616,2.4626496,0
0.96124029,2.4631531,0
0.96875,2.4636691,0
0.97637796,2.4641981,0
0.98412699,2.4647403,0
0.99199998,2.4652967,0
1,2.4658673,0
1.0081301,2.4664528,0
1.0163934,2.4670537,0
1.0247934,2.4676707,0
1.0333333,2.4683042,0
1.0420169,2.4689546,0
1.0508474,2.4696231,0
1.0598291,2.4703097,0
1.0689656,2.4710157,0
1.0782609,2.4717414,0
1.0877193,2.4724879,0
1.0973451,2.4732559,0
1.1071428,2.474046,0
1.1171172,2.4748595,0
1.1272727,2.4756968,0
1.1376147,2.4765594,0
1.1481482,2.477448,0
1.1588784,2.478364,0
1.1698114,2.4793081,0
1.1809524,2.4802821,0
1.1923077,2.4812865,0
1.2038835,2.4823234,0
1.2156863,2.4833937,0
1.2277228,2.4844992,0
1.24,2.4856412,0
1.2525252,2.4868217,0
1.2653061,2.4880424,0
1.2783505,2.489305,0
1.2916666,2.4906116,0
1.3052632,2.4919643,0
1.3191489,2.4933655,0
1.3333334,2.4948175,0
1.3478261,2.4963226,0
1.3626374,2.497884,0
1.3777778,2.4995041,0
1.3932585,2.5011864,0
1.4090909,2.502934,0
1.4252874,2.5047505,0
1.4418604,2.5066395,0
1.4588236,2.508605,0
1.4761904,2.5106518,0
1.4939759,2.5127842,0
1.5121951,2.5150073,0
1.5308642,2.5173264,0
1.55,2.5197473,0
1.5696203,2.5222764,0
1.5897436,2.5249205,0
1.6103896,2.5276866,0
1.6315789,2.5305831,0
1.6533333,2.5336182,0
1.6756756,2.5368016,0
1.6986301,2.5401433,0
1.7222222,2.5436547,0
1.7464789,2.5473475,0
1.7714286,2.5512354,0
1.7971015,2.5553329,0
1.8235294,2.5596559,0
1.8507463,2.5642221,0
1.8787879,2.5690515,0
1.9076923,2.5741651,0
1.9375,2.579587,0
1.968254,2.5853441,0
2,2.5914662,0
2.0327868,2.5979862,0
2.0666666,2.6049416,0
2.1016948,2.6123745,0
2.1379311,2.6203327,0
2.1754386,2.6288698,0
2.2142856,2.638047,0
2.2545455,2.6479349,0
2.2962964,2.6586142,0
2.3396227,2.6701777,0
2.3846154,2.6827338,0
2.4313726,2.6964087,0
2.48,2.7113504,0
2.5306122,2.7277343,0
2.5833333,2.7457693,0
2.6382978,2.7657063,0
2.6956522,2.7878489,0
2.7555556,2.8125691,0
2.8181818,2.840327,0
2.8837209,2.8716984,0
2.9523809,2.9074152,0
3.0243902,2.9484203,0
3.0999999,2.9959531,0
3.1794872,3.0516751,0
3.2631578,3.1178699,0
3.3513513,3.1977682,0.033
3.4444444,3.2961066,0.25099999
3.5428572,3.4201403,0.65079999
3.6470587,3.5816216,1.0926
3.7575758,3.8010478,1.5698
3.875,4.1180396,2.0759001
4,4.621944,2.7344
4.1333332,5.57476,3.2802999
4.2758622,8.3755503,3.5346999
4.4285712,11.070713,3.5606
4.5925927,5.2032189,3.4317999
4.7692308,3.6479409,3.1974001
4.96,2.7929344,2.8473001
5.1666665,2.2000692,2.4535
5.3913045,1.7308261,2.0840001
5.6363635,1.3187257,1.8063
5.9047618,0.9110949,1.65
6.1999998,0.37956813,1.6957999
6.5263157,0.62480044,1.8312
6.8888888,0.90386206,1.998
