photon energy (eV),n,k
0.6,1.064,14.4
0.6508333,0.987875,13.155
0.7016667,0.844,12.2
0.7525,0.672625,11.445
0.8033333,0.514,10.8
0.8541667,0.438563,10.11437
0.905,0.396,9.48
0.9558333,0.36,8.95375
1.006667,0.329,8.49
1.0575,0.287375,8.060625
1.108333,0.251,7.67
1.159167,0.235375,7.31375
1.21,0.226,6.99
1.260833,0.212625,6.6975
1.311667,0.198,6.43
1.3625,0.179875,6.183125
1.413333,0.163,5.95
1.464167,0.151938,5.720624
1.515,0.145,5.5
1.565833,0.142563,5.28875
1.616667,0.143,5.09
1.6675,0.145875,4.908125
1.718333,0.148,4.74
1.769167,0.144313,4.58625
1.82,0.14,4.44
1.870833,0.140063,4.293125
1.921667,0.14,4.15
1.9725,0.136125,4.010625
2.023333,0.131,3.88
2.074167,0.1255,3.76625
2.125,0.121,3.66
2.175833,0.119313,3.55375
2.226667,0.12,3.45
2.2775,0.124375,3.348125
2.328333,0.129,3.25
2.379167,0.130063,3.159375
2.43,0.13,3.07
2.480833,0.129938,2.97375
2.531667,0.13,2.88
2.5825,0.13025,2.798125
2.633333,0.132,2.72
2.684167,0.137313,2.64
2.735,0.144,2.56
2.785833,0.151063,2.47875
2.836667,0.157,2.4
2.8875,0.1585,2.329375
2.938333,0.16,2.26
2.989167,0.166688,2.18625
3.04,0.173,2.11
3.090833,0.172625,2.029375
3.141667,0.173,1.95
3.1925,0.182,1.87875
3.243333,0.192,1.81
3.294167,0.198063,1.735
3.345,0.2,1.67
3.395833,0.192063,1.641875
3.446667,0.186,1.61
3.4975,0.194813,1.53375
3.548333,0.209,1.44
3.599167,0.221438,1.34525
3.65,0.238,1.24
3.700833,0.253313,1.120687
3.751667,0.294,0.986
3.8025,0.388125,0.818563
3.853333,0.526,0.663
3.904167,0.719062,0.554375
3.955,0.932,0.504
4.005833,1.142062,0.550875
4.056667,1.323,0.647
4.1075,1.4325,0.761063
4.158333,1.496,0.882
4.209167,1.519375,0.988813
4.26,1.519,1.08
4.310833,1.513563,1.143
4.361667,1.502,1.19
4.4125,1.490125,1.22875
4.463333,1.476,1.26
4.514167,1.459188,1.288125
4.565,1.441,1.31
4.615833,1.422312,1.321875
4.666667,1.404,1.33
4.7175,1.3875,1.34125
4.768333,1.372,1.35
4.819167,1.356938,1.35125
4.87,1.343,1.35
4.920833,1.331063,1.35
4.971667,1.32,1.35
5.0225,1.308563,1.350625
5.073333,1.298,1.35
5.124166,1.289687,1.345625
5.175,1.282,1.34
5.225833,1.273437,1.335
5.276667,1.265,1.33
5.3275,1.257188,1.325
5.378334,1.25,1.32
5.429167,1.244,1.314687
5.48,1.238,1.31
5.530833,1.230688,1.307187
5.581666,1.223,1.305
5.6325,1.215688,1.3025
5.683333,1.208,1.3
5.734167,1.199125,1.2975
5.785,1.19,1.295
5.835834,1.181875,1.292813
5.886667,1.173,1.29
5.9375,1.161438,1.285312
5.988333,1.149,1.28
6.039166,1.137188,1.275
6.09,1.125,1.27
6.140833,1.111625,1.265625
6.191667,1.098,1.26
6.2425,1.084812,1.25125
6.293334,1.072,1.24
6.344167,1.059625,1.225625
6.395,1.048,1.21
6.445833,1.0375,1.194375
6.496666,1.028,1.18
6.5475,1.0195,1.168125
6.598333,1.012,1.16
6.649167,1.00425,1.149375
6.7,0.995,1.13
