photon energy (eV),n,k
0.1,1.00023,1.00E-08
0.2,1.00023,1.00E-08
0.3,1.00023,1.00E-08
0.4,1.00023,1.00E-08
0.5,1.00023,1.00E-08
0.6,1.00023,1.00E-08
0.7,1.00023,1.00E-08
0.8,1.00023,1.00E-08
0.9,1.00023,1.00E-08
1,1.00023,1.00E-08
1.1,1.00023,1.00E-08
1.2,1.00023,1.00E-08
1.3,1.00023,1.00E-08
1.4,1.00023,1.00E-08
1.5,1.00023,1.00E-08
1.6,1.00023,1.00E-08
1.7,1.00023,1.00E-08
1.8,1.00023,1.00E-08
1.9,1.00023,1.00E-08
2,1.00023,1.00E-08
2.1,1.00023,1.00E-08
2.2,1.00023,1.00E-08
2.3,1.00023,1.00E-08
2.4,1.00023,1.00E-08
2.5,1.00023,1.00E-08
2.6,1.00023,1.00E-08
2.7,1.00023,1.00E-08
2.8,1.00023,1.00E-08
2.9,1.00023,1.00E-08
3,1.00023,1.00E-08
3.1,1.00023,1.00E-08
3.2,1.00023,1.00E-08
3.3,1.00023,1.00E-08
3.4,1.00023,1.00E-08
3.5,1.00023,1.00E-08
3.6,1.00023,1.00E-08
3.7,1.00023,1.00E-08
3.8,1.00023,1.00E-08
3.9,1.00023,1.00E-08
4,1.00023,1.00E-08
4.1,1.00023,1.00E-08
4.2,1.00023,1.00E-08
4.3,1.00023,1.00E-08
4.4,1.00023,1.00E-08
4.5,1.00023,1.00E-08
4.6,1.00023,1.00E-08
4.7,1.00023,1.00E-08
4.8,1.00023,1.00E-08
4.9,1.00023,1.00E-08
5,1.00023,1.00E-08
5.1,1.00023,1.00E-08
5.2,1.00023,1.00E-08
5.3,1.00023,1.00E-08
5.4,1.00023,1.00E-08
5.5,1.00023,1.00E-08
5.6,1.00023,1.00E-08
5.7,1.00023,1.00E-08
5.8,1.00023,1.00E-08
5.9,1.00023,1.00E-08
6,1.00023,1.00E-08
6.1,1.00023,1.00E-08
6.2,1.00023,1.00E-08
6.3,1.00023,1.00E-08
6.4,1.00023,1.00E-08
6.5,1.00023,1.00E-08
6.6,1.00023,1.00E-08
6.7,1.00023,1.00E-08
6.8,1.00023,1.00E-08
6.9,1.00023,1.00E-08
7,1.00023,1.00E-08
7.1,1.00023,1.00E-08
7.2,1.00023,1.00E-08
7.3,1.00023,1.00E-08
7.4,1.00023,1.00E-08
7.5,1.00023,1.00E-08
7.6,1.00023,1.00E-08
7.7,1.00023,1.00E-08
7.8,1.00023,1.00E-08
7.9,1.00023,1.00E-08
8,1.00023,1.00E-08
