photon energy (eV),n,k
0.5,3.07,25.6
0.55,2.62,23.3
0.6,2.27,21.4
0.65,1.99,19.8
0.7,1.77,18.3
0.75,1.59,17.1
0.8,1.44,16
0.85,1.33,14.9
0.9,1.26,14
0.95,1.23,13.2
1,1.21,12.5
1.05,1.21,11.8
1.1,1.2,11.2
1.15,1.21,10.6
1.2,1.26,10
1.25,1.37,9.49
1.3,1.47,8.95
1.35,1.86,8.44
1.4,2.24,8.21
1.45,2.58,8.21
1.5,2.74,8.31
1.55,2.8,8.45
1.6,2.63,8.6
1.65,2.41,8.62
1.7,2.14,8.57
1.75,1.91,8.39
1.8,1.74,8.21
1.85,1.6,8.01
1.9,1.49,7.82
1.95,1.39,7.65
2,1.3,7.48
2.05,1.22,7.31
2.1,1.15,7.15
2.15,1.08,7
2.2,1.02,6.85
2.25,0.963,6.7
2.3,0.912,6.55
2.35,0.867,6.42
2.4,0.826,6.28
2.45,0.789,6.15
2.5,0.755,6.03
2.55,0.72375,5.915
2.6,0.695,5.8
2.65,0.668625,5.69
2.7,0.644,5.58
2.75,0.620313,5.48
2.8,0.598,5.38
2.85,0.577313,5.29
2.9,0.558,5.2
2.95,0.540063,5.10875
3,0.523,5.02
3.05,0.506188,4.938125
3.1,0.49,4.86
3.15,0.474688,4.784375
3.2,0.46,4.71
3.25,0.445688,4.63375
3.3,0.432,4.56
3.35,0.419125,4.49375
3.4,0.407,4.43
3.45,0.39575,4.365
3.5,0.385,4.3
3.55,0.374375,4.23375
3.6,0.364,4.17
3.65,0.353813,4.11375
3.7,0.344,4.06
3.75,0.33475,4.005
3.8,0.326,3.95
3.85,0.317875,3.894375
3.9,0.31,3.84
3.95,0.301875,3.789375
4,0.294,3.74
4.05,0.286813,3.689375
4.1,0.28,3.64
4.15,0.273375,3.59375
4.2,0.267,3.55
4.25,0.260875,3.51
4.3,0.255,3.47
4.35,0.249438,3.425
4.4,0.244,3.38
4.45,0.238438,3.339375
4.5,0.233,3.3
4.55,0.227938,3.259375
4.6,0.223,3.22
4.65,0.217875,3.185
4.7,0.213,3.15
4.75,0.208875,3.109375
4.8,0.205,3.07
4.85,0.200938,3.039375
4.9,0.197,3.01
4.95,0.193438,2.975
5,0.19,2.94
5.05,0.1865,2.909375
5.1,0.183,2.88
5.15,0.179563,2.85
5.2,0.176,2.82
5.25,0.171938,2.79
5.3,0.168,2.76
5.35,0.164938,2.73
5.4,0.162,2.7
5.45,0.1585,2.669375
5.5,0.155,2.64
5.55,0.151875,2.615
5.6,0.149,2.59
5.65,0.146438,2.559375
5.7,0.144,2.53
5.75,0.1415,2.509375
5.8,0.139,2.49
5.85,0.136438,2.465625
5.9,0.134,2.44
5.95,0.131813,2.414375
6,0.13,2.39
6.05,0.127982,2.366705
6.1,0.125816,2.344273
6.15,0.123559,2.322489
6.2,0.121268,2.301136
6.25,0.119,2.28
6.3,0.116812,2.258863
6.35,0.114761,2.237511
6.4,0.112904,2.215727
6.45,0.111298,2.193295
6.5,0.11,2.17
6.55,0.108835,2.146683
6.6,0.107628,2.124184
6.65,0.106203,2.103344
6.7,0.104385,2.085002
6.75,0.102,2.07
