photon energy (eV),n,k
0.5,1.205,15.5
0.55,1.034,14.14438
0.6,0.896,13
0.65,0.78525,12.03063
0.7,0.696,11.2
0.75,0.621563,10.4575
0.8,0.559,9.81
0.85,0.503063,9.203125
0.9,0.454,8.77
0.95,0.410188,8.757501
1,0.372,8.77
1.05,0.339375,8.40375
1.1,0.312,7.93
1.15,0.2905,7.485001
1.2,0.272,7.07
1.25,0.253125,6.753125
1.3,0.236,6.47
1.35,0.222125,6.168125
1.4,0.21,5.88
1.45,0.198125,5.63125
1.5,0.188,5.39
1.55,0.181375,5.125813
1.6,0.176,4.86
1.65,0.1695,4.610188
1.7,0.164,4.357
1.75,0.160875,4.087687
1.8,0.16,3.8
1.85,0.161,3.445812
1.9,0.166,3.15
1.95,0.17775,3.07
2,0.194,3.06
2.05,0.212375,3.015
2.1,0.236,2.97
2.15,0.267625,2.940625
2.2,0.306,2.88
2.25,0.3455,2.730625
2.3,0.402,2.54
2.35,0.49175,2.32625
2.4,0.608,2.12
2.45,0.7545,1.9565
2.5,0.916,1.84
2.55,1.08675,1.797375
2.6,1.242,1.796
2.65,1.345875,1.814625
2.7,1.426,1.846
2.75,1.502125,1.875875
2.8,1.562,1.904
2.85,1.59625,1.9245
2.9,1.616,1.94
2.95,1.628,1.951375
3,1.636,1.958
3.05,1.64725,1.959375
3.1,1.658,1.956
3.15,1.666,1.94775
3.2,1.674,1.936
3.25,1.68475,1.9225
3.3,1.696,1.906
3.35,1.705875,1.883
3.4,1.716,1.862
3.45,1.727625,1.852375
3.5,1.74,1.848
3.55,1.7525,1.84525
3.6,1.766,1.846
3.65,1.782,1.85175
3.7,1.798,1.86
3.75,1.812,1.86825
3.8,1.824,1.878
3.85,1.83425,1.891375
3.9,1.84,1.904
3.95,1.837125,1.911375
4,1.83,1.916
4.05,1.822625,1.918875
4.1,1.812,1.92
4.15,1.795,1.920375
4.2,1.776,1.918
4.25,1.76,1.91
4.3,1.742,1.9
4.35,1.7165,1.89175
4.4,1.69,1.882
4.45,1.668875,1.86775
4.5,1.648,1.852
4.55,1.623625,1.8375
4.6,1.598,1.822
4.65,1.5715,1.803375
4.7,1.546,1.784
4.75,1.522625,1.76675
4.8,1.504,1.748
4.85,1.49475,1.724625
4.9,1.49,1.698
4.95,1.4865,1.66675
5,1.484,1.636
5.05,1.481125,1.611625
5.1,1.478,1.59
5.15,1.474125,1.569625
5.2,1.47,1.55
5.25,1.466,1.5295
5.3,1.462,1.51
5.35,1.457625,1.49375
5.4,1.454,1.478
5.45,1.453125,1.4595
5.5,1.452,1.442
5.55,1.447125,1.429625
5.6,1.442,1.418
5.65,1.43975,1.403
5.7,1.438,1.388
5.75,1.434875,1.376
5.8,1.432,1.364
5.85,1.431125,1.34925
5.9,1.43,1.334
5.95,1.427375,1.31925
6,1.422,1.306
