photon energy (eV),n,k
0.76,1.8920,0.0
0.78,1.8926,0.0
0.80,1.8931,0.0
0.82,1.8936,0.0
0.84,1.8942,0.0
0.86,1.8947,0.0
0.88,1.8951,0.0
0.90,1.8956,0.0
0.92,1.8961,0.0
0.94,1.8966,0.0
0.96,1.8970,0.0
0.98,1.8975,0.0
1.00,1.8979,0.0
1.02,1.8984,0.0
1.04,1.8988,0.0
1.06,1.8992,0.0
1.08,1.8997,0.0
1.10,1.9001,0.0
1.12,1.9006,0.0
1.14,1.9010,0.0
1.16,1.9015,0.0
1.18,1.9019,0.0
1.20,1.9023,0.0
1.22,1.9028,0.0
1.24,1.9032,0.0
1.26,1.9037,0.0
1.28,1.9041,0.0
1.30,1.9046,0.0
1.32,1.9051,0.0
1.34,1.9055,0.0
1.36,1.9060,0.0
1.38,1.9065,0.0
1.40,1.9069,0.0
1.42,1.9074,0.0
1.44,1.9079,0.0
1.46,1.9084,0.0
1.48,1.9089,0.0
1.50,1.9094,0.0
1.52,1.9099,0.0
1.54,1.9104,0.0
1.56,1.9109,0.0
1.58,1.9115,0.0
1.60,1.9120,0.0
1.62,1.9125,0.0
1.64,1.9131,0.0
1.66,1.9136,0.0
1.68,1.9142,0.0
1.70,1.9147,0.0
1.72,1.9153,0.0
1.74,1.9159,0.0
1.76,1.9164,0.0
1.78,1.9170,0.0
1.80,1.9176,0.0
1.82,1.9182,0.0
1.84,1.9188,0.0
1.86,1.9194,0.0
1.88,1.9201,0.0
1.90,1.9207,0.0
1.92,1.9213,0.0
1.94,1.9220,0.0
1.96,1.9226,0.0
1.98,1.9233,0.0
2.00,1.9239,0.0
2.02,1.9246,0.0
2.04,1.9253,0.0
2.06,1.9260,0.0
2.08,1.9267,0.0
2.10,1.9274,0.0
2.12,1.9281,0.0
2.14,1.9288,0.0
2.16,1.9296,0.0
2.18,1.9303,0.0
2.20,1.9311,0.0
2.22,1.9318,0.0
2.24,1.9326,0.0
2.26,1.9334,0.0
2.28,1.9342,0.0
2.30,1.9350,0.0
2.32,1.9358,0.0
2.34,1.9366,0.0
2.36,1.9374,0.0
2.38,1.9383,0.0
2.40,1.9391,0.0
2.42,1.9400,0.0
2.44,1.9408,0.0
2.46,1.9417,0.0
2.48,1.9426,0.0
2.50,1.9435,0.0
2.52,1.9444,0.0
2.54,1.9453,0.0
2.56,1.9462,0.0
2.58,1.9472,0.0
2.60,1.9481,0.0
2.62,1.9491,0.0
2.64,1.9500,0.0
2.66,1.9510,0.0
2.68,1.9520,0.0
2.70,1.9530,0.0
2.72,1.9540,0.0
2.74,1.9551,0.0
2.76,1.9561,0.0
2.78,1.9572,0.0
2.80,1.9582,0.0
2.82,1.9593,0.0
2.84,1.9604,0.0
2.86,1.9615,0.0
2.88,1.9626,0.0
2.90,1.9638,0.0
2.92,1.9649,0.0
2.94,1.9661,0.0
2.96,1.9672,0.0
2.98,1.9684,0.0
3.00,1.9696,0.0
3.02,1.9708,0.0
3.04,1.9721,0.0
3.06,1.9733,0.0
3.08,1.9746,0.0
3.10,1.9758,0.0
3.12,1.9771,0.0
3.14,1.9784,0.0
3.16,1.9797,0.0
3.18,1.9811,0.0
3.20,1.9824,0.0
3.22,1.9838,0.0
3.24,1.9852,0.0
3.26,1.9866,0.0
3.28,1.9880,0.0
3.30,1.9894,0.0
3.32,1.9908,0.0
3.34,1.9923,0.0
3.36,1.9938,0.0
3.38,1.9953,0.0
3.40,1.9968,0.0
3.42,1.9983,0.0
3.44,1.9999,0.0
3.46,2.0015,0.0
3.48,2.0031,0.0
3.50,2.0047,0.0
3.52,2.0063,0.0
3.54,2.0080,0.0
3.56,2.0096,0.0
3.58,2.0113,0.0
3.60,2.0130,0.0
3.62,2.0148,0.0
3.64,2.0165,0.0
3.66,2.0183,0.0
3.68,2.0201,0.0
3.70,2.0219,0.0
3.72,2.0238,0.0
3.74,2.0257,0.0
3.76,2.0276,0.0
3.78,2.0295,0.0
3.80,2.0314,0.0
3.82,2.0334,0.0
3.84,2.0354,0.0
3.86,2.0374,0.0
3.88,2.0394,0.0
3.90,2.0415,0.0
3.92,2.0436,0.0
3.94,2.0457,0.0
3.96,2.0479,0.0
3.98,2.0501,0.0
4.00,2.0523,0.0
4.02,2.0545,0.0
4.04,2.0568,0.0
4.06,2.0591,0.0
4.08,2.0614,0.0
4.10,2.0638,0.0
4.12,2.0662,0.0
4.14,2.0686,0.0
4.16,2.0711,0.0
4.18,2.0735,0.0
4.20,2.0761,0.0
4.22,2.0786,0.0
4.24,2.0812,0.0
4.26,2.0839,0.0
4.28,2.0865,0.0
4.30,2.0892,0.0
4.32,2.0920,0.0
4.34,2.0948,0.0
4.36,2.0976,0.0
4.38,2.1005,0.0
4.40,2.1034,0.0
4.42,2.1063,0.0
4.44,2.1093,0.0
4.46,2.1124,0.0
4.48,2.1155,0.0
4.50,2.1186,0.0
4.52,2.1218,0.0
4.54,2.1250,0.0
4.56,2.1283,0.0
4.58,2.1316,0.0
4.60,2.1349,0.0
