photon energy (eV),n,k
0.65,3.847876,7.754386
0.7,3.737931,7.55266
0.75,3.645294,7.346843
0.8,3.563532,7.140345
0.85,3.486216,6.936571
0.9,3.405286,6.740093
0.95,3.309644,6.557652
1,3.210126,6.380318
1.05,3.109456,6.200423
1.1,3.012066,6.020134
1.15,2.924417,5.846242
1.2,2.853172,5.682929
1.25,2.79141,5.529436
1.3,2.737276,5.389123
1.35,2.687924,5.258877
1.4,2.64,5.135093
1.45,2.59,5.014462
1.5,2.54,4.901523
1.55,2.488443,4.800536
1.6,2.437957,4.708664
1.65,2.391383,4.623303
1.7,2.351323,4.542517
1.75,2.31637,4.465179
1.8,2.287895,4.387879
1.85,2.263548,4.312944
1.9,2.240687,4.243976
1.95,2.21771,4.181812
2,2.19467,4.121914
2.05,2.170933,4.059145
2.1,2.145897,3.996505
2.15,2.118576,3.937455
2.2,2.088519,3.883047
2.25,2.056584,3.830422
2.3,2.022461,3.775553
2.35,1.986988,3.719442
2.4,1.950973,3.662967
2.45,1.915087,3.606397
2.5,1.88,3.55
2.55,1.849846,3.494187
2.6,1.820994,3.43905
2.65,1.79322,3.384819
2.7,1.766297,3.331725
2.75,1.74,3.28
2.8,1.71192,3.23208
2.85,1.68456,3.18544
2.9,1.65824,3.13976
2.95,1.63328,3.09472
3,1.61,3.05
3.05,1.59032,3.00336
3.1,1.57256,2.95688
3.15,1.55664,2.91072
3.2,1.54248,2.86504
3.25,1.53,2.82
3.3,1.519808,2.775959
3.35,1.510963,2.732829
3.4,1.503215,2.690718
3.45,1.496312,2.649739
3.5,1.49,2.61
3.55,1.482993,2.571585
3.6,1.476365,2.534639
3.65,1.470137,2.499279
3.7,1.464329,2.465621
3.75,1.458924,2.434124
3.8,1.453838,2.405825
3.85,1.449289,2.379098
3.9,1.445347,2.353634
3.95,1.44208,2.329126
4,1.439731,2.304979
4.05,1.438826,2.280124
4.1,1.438556,2.255711
4.15,1.438782,2.231774
4.2,1.439367,2.208349
4.25,1.439966,2.185488
4.3,1.439787,2.163288
4.35,1.43962,2.141696
4.4,1.439492,2.120734
4.45,1.43943,2.10042
4.5,1.439462,2.080774
4.55,1.439616,2.061815
4.6,1.439919,2.043564
4.65,1.440611,2.025988
4.7,1.441537,2.00915
4.75,1.442643,1.993091
4.8,1.443927,1.977837
4.85,1.445387,1.963415
4.9,1.447023,1.949851
4.95,1.448832,1.937172
5,1.451499,1.925779
5.05,1.455298,1.915851
5.1,1.45902,1.906754
5.15,1.462482,1.898414
5.2,1.465498,1.890758
5.25,1.467884,1.883713
5.3,1.469453,1.877205
5.35,1.470023,1.87116
5.4,1.466308,1.866538
5.45,1.460487,1.862479
5.5,1.453437,1.858553
5.55,1.445282,1.854584
5.6,1.436145,1.850396
5.65,1.426147,1.845812
5.7,1.415411,1.840657
5.75,1.40406,1.834754
5.8,1.392215,1.827927
5.85,1.38,1.82
5.9,1.369382,1.807358
5.95,1.358349,1.7938
6,1.346865,1.779451
6.05,1.33489,1.764431
6.1,1.322387,1.748864
6.15,1.309318,1.732871
6.2,1.295646,1.716576
6.25,1.281333,1.7001
6.3,1.26634,1.683566
6.35,1.25063,1.667096
6.4,1.234165,1.650814
6.45,1.216908,1.63484
6.5,1.198819,1.619299
6.55,1.179863,1.604311
6.6,1.16,1.59
