photon energy (eV),n,k
0.05,3.68,3.62
1,3.68,3.62
1.05,3.660625,3.59125
1.1,3.62,3.58
1.15,3.564375,3.57875
1.2,3.5,3.58
1.25,3.4325,3.5725
1.3,3.37,3.56
1.35,3.326875,3.54125
1.4,3.29,3.52
1.45,3.25125,3.5
1.5,3.21,3.48
1.55,3.158125,3.46
1.6,3.11,3.44
1.65,3.07875,3.419375
1.7,3.06,3.4
1.75,3.054375,3.385
1.8,3.06,3.37
1.85,3.07625,3.35
1.9,3.1,3.33
1.95,3.129375,3.3125
2,3.16,3.3
2.05,3.188125,3.296875
2.1,3.21,3.3
2.15,3.225,3.309375
2.2,3.22,3.32
2.25,3.178125,3.32625
2.3,3.11,3.33
2.35,3.013125,3.3325
2.4,2.91,3.33
2.45,2.829375,3.3175
2.5,2.75,3.3
2.55,2.655,3.283125
2.6,2.56,3.26
2.65,2.47625,3.2225
2.7,2.4,3.18
2.75,2.33125,3.14
2.8,2.27,3.1
2.85,2.2175,3.060625
2.9,2.17,3.02
2.95,2.123125,2.975
3,2.08,2.93
3.05,2.043125,2.889375
3.1,2.01,2.85
3.15,1.97875,2.808125
3.2,1.95,2.77
3.25,1.92375,2.7425
3.3,1.9,2.72
3.35,1.878125,2.699375
3.4,1.86,2.68
3.45,1.851875,2.660625
3.5,1.84,2.64
3.55,1.8075,2.615
3.6,1.77,2.59
3.65,1.738125,2.57
3.7,1.71,2.55
3.75,1.68875,2.525625
3.8,1.67,2.5
3.85,1.650625,2.475
3.9,1.63,2.45
3.95,1.605,2.425
4,1.58,2.4
4.05,1.559375,2.375
4.1,1.54,2.35
4.15,1.52,2.325625
4.2,1.5,2.3
4.25,1.47875,2.27
4.3,1.46,2.24
4.35,1.448125,2.214375
4.4,1.44,2.19
4.45,1.43625,2.165
4.5,1.43,2.14
4.55,1.41,2.114375
4.6,1.39,2.09
4.65,1.3825,2.07
4.7,1.38,2.05
4.75,1.38,2.025625
4.8,1.38,2
4.85,1.375625,1.975
4.9,1.37,1.95
4.95,1.364375,1.925
5,1.36,1.9
5.05,1.35875,1.874375
5.1,1.36,1.85
5.15,1.36375,1.82875
5.2,1.37,1.81
5.25,1.379375,1.79375
5.3,1.39,1.78
5.35,1.4,1.769375
5.4,1.41,1.76
5.45,1.42,1.749375
5.5,1.43,1.74
5.55,1.44,1.734375
5.6,1.45,1.73
5.65,1.46125,1.724375
5.7,1.47,1.72
5.75,1.471875,1.719375
5.8,1.47,1.72
5.85,1.465,1.720625
5.9,1.46,1.72
5.95,1.4575,1.716875
6,1.46,1.71
