photon energy (eV),n,k
0.5,1.15,13.2
0.55,1.005687,12.01313
0.6,0.89,11
0.65,0.797563,10.13938
0.7,0.723,9.41
0.75,0.658438,8.791875
0.8,0.606,8.26
0.85,0.570125,7.669375
0.9,0.536,7.36
0.95,0.482188,7.911125
1,0.433,8.46
1.05,0.414438,8.116563
1.1,0.4,7.542
1.15,0.364188,7.146813
1.2,0.33,6.793
1.25,0.31625,6.48325
1.3,0.31,6.206
1.35,0.30625,5.953374
1.4,0.3,5.717
1.45,0.28,5.485625
1.5,0.26,5.26
1.55,0.254188,5.034125
1.6,0.25,4.817
1.65,0.2365,4.619563
1.7,0.223,4.43
1.75,0.21625,4.239563
1.8,0.213,4.05
1.85,0.20925,3.863125
1.9,0.214,3.67
1.95,0.230813,3.458187
2,0.272,3.24
2.05,0.35125,3.01075
2.1,0.468,2.809
2.15,0.645875,2.678062
2.2,0.826,2.599
2.25,0.950375,2.5765
2.3,1.04,2.583
2.35,1.092437,2.595562
2.4,1.12,2.605
2.45,1.131562,2.589625
2.5,1.135,2.564
2.55,1.142812,2.535875
2.6,1.15,2.504
2.65,1.155312,2.469187
2.7,1.16,2.433
2.75,1.165312,2.397625
2.8,1.17,2.362
2.85,1.172812,2.326
2.9,1.175,2.289
2.95,1.178125,2.249938
3,1.18,2.21
3.05,1.1775,2.160063
3.1,1.175,2.13
3.15,1.174375,2.177188
3.2,1.18,2.21
3.25,1.2,2.121562
3.3,1.225,2.015
3.35,1.249062,1.972438
3.4,1.27,1.95
3.45,1.281563,1.931688
3.5,1.29,1.916
3.55,1.300313,1.89425
3.6,1.31,1.872
3.65,1.317812,1.85175
3.7,1.325,1.834
3.75,1.334375,1.822125
3.8,1.34,1.81
3.85,1.3325,1.791625
3.9,1.325,1.77
3.95,1.329063,1.744563
4,1.34,1.72
4.05,1.358438,1.703313
4.1,1.38,1.687
4.15,1.400313,1.662125
4.2,1.42,1.64
4.25,1.437813,1.630875
4.3,1.455,1.629
4.35,1.47375,1.633312
4.4,1.49,1.64
4.45,1.49875,1.643312
4.5,1.505,1.648
4.55,1.513125,1.65875
4.6,1.52,1.67
4.65,1.523125,1.675625
4.7,1.525,1.682
4.75,1.529688,1.693813
4.8,1.53,1.71
4.85,1.517187,1.733812
4.9,1.5,1.757
4.95,1.485938,1.77025
5,1.47,1.78
5.05,1.448437,1.790875
5.1,1.425,1.799
5.15,1.402812,1.80075
5.2,1.38,1.8
5.25,1.355313,1.80075
5.3,1.33,1.799
5.35,1.305,1.7905
5.4,1.28,1.78
5.45,1.255,1.77175
5.5,1.23,1.763
5.55,1.204375,1.752375
5.6,1.18,1.74
5.65,1.159375,1.7255
5.7,1.14,1.709
5.75,1.119375,1.69
5.8,1.1,1.67
5.85,1.084375,1.650625
5.9,1.07,1.631
5.95,1.054879,1.610723
6,1.04,1.59
6.05,1.025607,1.568884
6.1,1.011943,1.547429
6.15,0.99925,1.525687
6.2,0.987771,1.503714
6.25,0.97775,1.481562
6.3,0.969428,1.459286
6.35,0.96305,1.436938
6.4,0.958857,1.414571
6.45,0.957093,1.392241
6.5,0.958,1.37
