photon energy (eV),n,k
0.5,4.074,0
0.55,4.086,0
0.6,4.104,0
0.65,4.133125,0.003147
0.7,4.18,0.00028
0.75,4.231625,0.001309
0.8,4.275,0.00567
0.85,4.283437,0.040022
0.9,4.285,0.0745
0.95,4.301875,0.080621
1,4.325,0.0809
1.05,4.355312,0.0911
1.1,4.385,0.103
1.15,4.401563,0.111631
1.2,4.42,0.123
1.25,4.455625,0.144813
1.3,4.495,0.167
1.35,4.526375,0.1745
1.4,4.56,0.19
1.45,4.603687,0.2425
1.5,4.653,0.298
1.55,4.705437,0.32475
1.6,4.763,0.345
1.65,4.82625,0.36975
1.7,4.897,0.401
1.75,4.976187,0.445375
1.8,5.067,0.5
1.85,5.17275,0.55675
1.9,5.294,0.638
1.95,5.445188,0.750313
2,5.588,0.933
2.05,5.715437,1.276
2.1,5.748,1.634
2.15,5.539312,1.8685
2.2,5.283,2.049
2.25,5.171687,2.200875
2.3,5.062,2.318
2.35,4.839063,2.40775
2.4,4.61,2.455
2.45,4.45675,2.43275
2.5,4.34,2.384
2.55,4.24925,2.346375
2.6,4.18,2.309
2.65,4.123937,2.2735
2.7,4.082,2.24
2.75,4.05225,2.20875
2.8,4.035,2.181
2.85,4.03025,2.1565
2.9,4.037,2.14
2.95,4.055938,2.135563
3,4.082,2.145
3.05,4.113312,2.1725
3.1,4.141,2.215
3.15,4.1545,2.273813
3.2,4.157,2.34
3.25,4.147125,2.405437
3.3,4.128,2.469
3.35,4.100312,2.526562
3.4,4.07,2.579
3.45,4.043563,2.624125
3.5,4.02,2.667
3.55,4.001062,2.712
3.6,3.985,2.759
3.65,3.970687,2.809062
3.7,3.958,2.863
3.75,3.946312,2.921562
3.8,3.936,2.986
3.85,3.927562,3.05675
3.9,3.92,3.137
3.95,3.91375,3.228563
4,3.905,3.336
4.05,3.893812,3.462751
4.1,3.869,3.614
4.15,3.830187,3.797751
4.2,3.745,4.009
4.25,3.585125,4.272563
4.3,3.338,4.507
4.35,2.936752,4.642375
4.4,2.516,4.669
4.45,2.197689,4.514188
4.5,1.953,4.297
4.55,1.809687,4.120937
4.6,1.72,3.96
4.65,1.643937,3.825937
4.7,1.586,3.709
4.75,1.537563,3.60375
4.8,1.498,3.509
4.85,1.463563,3.422063
4.9,1.435,3.342
4.95,1.412063,3.266813
5,1.394,3.197
5.05,1.379812,3.132187
5.1,1.37,3.073
5.15,1.365062,3.02
5.2,1.364,2.973
5.25,1.366375,2.931438
5.3,1.371,2.897
5.35,1.377625,2.8715
5.4,1.383,2.854
5.45,1.3835,2.845062
5.5,1.38,2.842
5.55,1.372937,2.842
5.6,1.36,2.846
5.65,1.340062,2.855812
5.7,1.31,2.866
5.75,1.262688,2.873375
5.8,1.209,2.873
5.85,1.1575,2.856
5.9,1.108,2.831
5.95,1.0625,2.80225
6,1.023,2.774
