photon energy (eV),n,k

3.74,2.31745596,0.130670619
3.72,2.31695407,0.123246261
3.7,2.3109765,0.114988386
3.68,2.30987793,0.110245343
3.66,2.30592965,0.104767317
3.64,2.29926774,0.097335983
3.62,2.29691515,0.095078853
3.6,2.28988335,0.086766231
3.58,2.28689988,0.082277482
3.56,2.28248318,0.074984875
3.54,2.27798409,0.06921455
3.52,2.27695003,0.066452002
3.5,2.27060232,0.059557206
3.48,2.26442979,0.055102637
3.46,2.25940918,0.051369066
3.44,2.2495074,0.04393444
3.42,2.25047736,0.039888918
3.4,2.24194507,0.029785826
3.38,2.23391571,0.026463332
3.36,2.22049407,0.019346539
3.34,2.21283492,0.018381884
3.32,2.20486196,0.019154855
3.3,2.19893094,0.017766772
3.28,2.192012,0.015972453
3.26,2.18891476,0.015130641
3.24,2.18429921,0.014053129
3.22,2.18035455,0.012596883
3.2,2.17679755,0.011177531
3.18,2.16973728,0.00820394
3.16,2.16456659,0.006790621
3.14,2.15924208,0.00576023
3.12,2.15598455,0.005180966
3.1,2.15171909,0.004917113
3.08,2.1479062,0.00394897
3.06,2.14453087,0.00362531
3.04,2.14003859,0.002900113
3.02,2.13635572,0.002409229
3,2.13306558,0.002523866
2.98,2.12958229,0.0017194
2.96,2.12620826,0.002492241
2.94,2.12294216,0.002360514
2.92,2.12059613,0.002308911
2.9,2.1172986,0.0015377
2.88,2.1167933,0.001486045
2.86,2.11283457,0.002037283
2.84,2.1104004,0.000605311
2.82,2.10889382,0.000271784
2.8,2.10667031,0
2.78,2.10487378,0
2.76,2.10107642,0
2.74,2.10020029,0
2.72,2.09746487,0
2.7,2.09482273,0
2.68,2.09244203,0
2.66,2.08968883,0
2.64,2.08872982,0
2.62,2.08636781,0
2.6,2.08420508,0
2.58,2.08189884,0
2.56,2.08090378,0
2.54,2.07869839,0
2.52,2.07645044,0
2.5,2.07525078,0
2.48,2.07303521,0
2.46,2.0714425,0
2.44,2.06962829,0
2.42,2.06787467,0
2.4,2.06634092,0
2.38,2.0642569,0
2.36,2.06247247,0
2.34,2.06122173,0
2.32,2.05911395,0
2.3,2.05796373,0
2.28,2.05627328,0
2.26,2.05481163,0
2.24,2.05286034,0
2.22,2.0510768,0
2.2,2.05042766,0
2.18,2.04833837,0
2.16,2.04732061,0.000398763
2.14,2.04493002,0
2.12,2.04307307,0
2.1,2.0423151,0.000265257
2.08,2.04175943,0.000624217
2.06,2.03987851,9.78E-05
2.04,2.03867988,0.000668379
2.02,2.03790571,0.000721858
2,2.03645272,0.000494517
1.98,2.03528859,0.000739484
1.96,2.03384981,0.000639223
1.94,2.03309232,0.000742275
1.92,2.03181067,0.000715761
1.9,2.03052791,0.000809206
1.88,2.02935073,0.000924797
1.86,2.02809139,0.001019304
1.84,2.02668958,0.001023041
1.82,2.0254724,0.001057312
1.8,2.02413183,0.001112993
1.78,2.02325433,0.00119028
1.76,2.02209607,0.001241088
1.74,2.02074884,0.001116685
1.72,2.02010444,0.001083254
1.7,2.01868929,0.001052525
1.68,2.01747003,0.000727914
1.66,2.01647259,0.000808315
1.64,2.01539893,0.000683259
1.62,2.01477143,0.000961983
1.6,2.01348699,0.000649358
1.58,2.01242414,0.000420765
1.56,2.01090206,0.00038413
1.54,2.01057408,0.000127845
1.52,2.00936668,9.09E-05
1.5,2.00816669,0.000200193
1.48,2.00781553,0
1.46,2.00683884,0
1.44,2.00565411,0
1.42,2.00423722,0
1.4,2.00591575,0
1.38,2.00464237,0
1.36,2.00052839,0
1.34,2.00183386,0
1.32,2.00030106,0
1.3,1.9997335,0
1.28,1.99781728,0
1.26,1.99864525,0
1.24,1.99682537,0
1.22,1.99561077,0
1.2,1.99416895,0
1.18,1.99282925,0
1.16,1.99230079,0
1.14,1.99147008,0
1.12,1.98993504,0
1.1,1.98961581,0
1.08,1.98855984,0
1.06,1.98734784,0
1.04,1.98701502,0
1.02,1.98635135,0
1,1.98532459,0
