photon energy (eV),n,k

3.74,2.31635564,0.127077958
3.72,2.32062406,0.125302082
3.7,2.31478999,0.11470577
3.68,2.30824642,0.110644459
3.66,2.30479688,0.106359363
3.64,2.30177178,0.099969812
3.62,2.29726137,0.0961623
3.6,2.29200717,0.087675395
3.58,2.28847185,0.086037545
3.56,2.28365509,0.076548034
3.54,2.2770186,0.068643966
3.52,2.27426242,0.063483557
3.5,2.27106007,0.059383721
3.48,2.26521087,0.054098323
3.46,2.26044295,0.041519055
3.44,2.25208456,0.03856535
3.42,2.24403803,0.031230014
3.4,2.23489579,0.027464523
3.38,2.22392811,0.024662122
3.36,2.21624357,0.023538185
3.34,2.20895842,0.023081313
3.32,2.20360661,0.021238422
3.3,2.19892887,0.020229757
3.28,2.19391311,0.017069202
3.26,2.19008037,0.015442138
3.24,2.18475416,0.012979976
3.22,2.17706796,0.011763925
3.2,2.17370746,0.009916597
3.18,2.16912432,0.008140254
3.16,2.16403543,0.007922697
3.14,2.16004007,0.006645759
3.12,2.15553603,0.005752439
3.1,2.15207984,0.005101632
3.08,2.14782106,0.003495002
3.06,2.14410329,0.00363824
3.04,2.14124555,0.002566664
3.02,2.13695295,0.00217939
3,2.13369289,0.001943159
2.98,2.12957167,0.002881516
2.96,2.1274982,0.001130167
2.94,2.12542042,0.001565618
2.92,2.12333666,0.001481618
2.9,2.12080988,0.000362197
2.88,2.1186855,0.000120527
2.86,2.1160567,0
2.84,2.11411129,0
2.82,2.11192023,0
2.8,2.10856146,0
2.78,2.10603811,0
2.76,2.10236935,0
2.74,2.10143224,0
2.72,2.09933206,0
2.7,2.09625284,0
2.68,2.09430499,0
2.66,2.09123747,0
2.64,2.09098579,0
2.62,2.0879561,0
2.6,2.08613945,0
2.58,2.08381009,0
2.56,2.08273253,0
2.54,2.08046074,0
2.52,2.07841977,0
2.5,2.07705663,0
2.48,2.07478141,0
2.46,2.07269606,0
2.44,2.07119087,0
2.42,2.06937917,0
2.4,2.06736412,0
2.38,2.06564962,0
2.36,2.06419392,0
2.34,2.06225589,0
2.32,2.06043592,0
2.3,2.05935838,0
2.28,2.05810184,0
2.26,2.05599774,0
2.24,2.05456063,0
2.22,2.05249754,0
2.2,2.05220652,2.79E-05
2.18,2.05054315,0
2.16,2.05008101,0.000291422
2.14,2.04630352,0.000146995
2.12,2.04493698,0.000382656
2.1,2.04436465,0.000461809
2.08,2.04223984,0.000479252
2.06,2.04119084,0.000534703
2.04,2.03981416,0.000364063
2.02,2.03783645,0.000659863
2,2.03683065,0.000545886
1.98,2.03562448,0.000795382
1.96,2.03476832,0.00081023
1.94,2.03300403,0.000980267
1.92,2.03225102,0.000931381
1.9,2.03090541,0.00110468
1.88,2.02997538,0.001182727
1.86,2.02865392,0.000964
1.84,2.02768471,0.001246529
1.82,2.02596865,0.001193794
1.8,2.0246005,0.001284201
1.78,2.02370414,0.001272526
1.76,2.02207794,0.001314254
1.74,2.02131491,0.001326469
1.72,2.02030663,0.001415686
1.7,2.01906309,0.001413733
1.68,2.01804835,0.001168317
1.66,2.01680104,0.000952197
1.64,2.01600518,0.001332843
1.62,2.01484366,0.001224426
1.6,2.01342079,0.000760722
1.58,2.0121482,0.00108382
1.56,2.01152159,0.000968546
1.54,2.01023585,0.001043497
1.52,2.00982028,0.000822298
1.5,2.00844711,0.000747115
1.48,2.00777116,0.000291776
1.46,2.00719509,0.000517108
1.44,2.00611032,0.000182086
1.42,2.00469077,9.31E-05
1.4,2.00622996,0
1.38,2.00500415,0
1.36,2.00093594,0
1.34,2.002262,0
1.32,2.00055762,0
1.3,2.00002391,0
1.28,1.99816788,0
1.26,1.99900353,0
1.24,1.99717691,0
1.22,1.99602771,0
1.2,1.99449407,0
1.18,1.99296852,0
1.16,1.9922941,0
1.14,1.99165681,0
1.12,1.99010473,0
1.1,1.98995481,0
1.08,1.98897416,0
1.06,1.98757347,0
1.04,1.98741084,0
1.02,1.98649386,0
1,1.98528398,0
