photon energy (eV),n,k


3.74,2.31478385,0.13118793
3.72,2.31200483,0.12285057
3.7,2.30723917,0.11475377
3.68,2.30464202,0.110439379
3.66,2.30402481,0.103278595
3.64,2.29815897,0.09664549
3.62,2.29762907,0.092041115
3.6,2.28947025,0.089628349
3.58,2.28734238,0.083330972
3.56,2.28317432,0.073036507
3.54,2.2791149,0.068709673
3.52,2.2745152,0.062742911
3.5,2.27095475,0.057532267
3.48,2.2632202,0.048267705
3.46,2.25693421,0.046003064
3.44,2.25306786,0.039177336
3.42,2.24508857,0.035022043
3.4,2.23464481,0.029878928
3.38,2.22642201,0.027523342
3.36,2.22116176,0.024449319
3.34,2.21194268,0.023611884
3.32,2.20723352,0.022237849
3.3,2.20270061,0.0201473
3.28,2.19718433,0.019095176
3.26,2.19377964,0.017093894
3.24,2.18656197,0.012939811
3.22,2.18348573,0.011334173
3.2,2.17737165,0.010205367
3.18,2.17256787,0.00891997
3.16,2.16776996,0.007665969
3.14,2.16452935,0.007335129
3.12,2.16022042,0.005786484
3.1,2.15558193,0.005464107
3.08,2.15237814,0.004328173
3.06,2.14891794,0.003215963
3.04,2.14413484,0.002885846
3.02,2.13959879,0.002406578
3,2.13709715,0.00179961
2.98,2.13275268,0.002105856
2.96,2.13117489,0.002054295
2.94,2.12759036,0.001303944
2.92,2.12473391,0.001230795
2.9,2.12234591,0.001724202
2.88,2.11884002,0.001536031
2.86,2.11579472,0
2.84,2.11382456,0
2.82,2.11057015,0
2.8,2.10880823,0
2.78,2.10601736,0
2.76,2.10256684,0
2.74,2.10122834,0
2.72,2.09812623,0
2.7,2.09547558,0
2.68,2.09223425,0
2.66,2.09008037,0
2.64,2.08939684,0
2.62,2.0865768,0
2.6,2.08427663,0
2.58,2.08205136,0
2.56,2.08030868,0
2.54,2.07820219,0
2.52,2.07608024,0
2.5,2.07472104,0
2.48,2.07222607,0
2.46,2.07066752,0
2.44,2.06881754,0
2.42,2.0669484,0
2.4,2.06503934,0
2.38,2.06314357,0
2.36,2.06156252,0
2.34,2.05987462,0
2.32,2.0578846,0
2.3,2.05690192,0
2.28,2.05493194,0
2.26,2.05384718,0
2.24,2.05277203,0
2.22,2.05067532,0
2.2,2.04960925,0
2.18,2.04805548,0
2.16,2.04817144,0
2.14,2.04520063,0
2.12,2.04258279,0
2.1,2.04107554,0
2.08,2.04075877,0
2.06,2.03918521,0
2.04,2.03777114,0
2.02,2.03608175,0
2,2.03540152,0
1.98,2.03447912,3.82E-05
1.96,2.032713,0
1.94,2.03179821,0
1.92,2.0307921,0
1.9,2.02985994,0
1.88,2.02829142,0
1.86,2.02732538,0
1.84,2.02597405,0.000138888
1.82,2.02439177,0
1.8,2.02351349,0.000163332
1.78,2.02260088,0.000119908
1.76,2.02134828,0.000539241
1.74,2.02040956,0.000203295
1.72,2.01949792,0.000404888
1.7,2.01830353,9.77E-05
1.68,2.01740445,0.000136165
1.66,2.01620386,0.000356084
1.64,2.01530595,0
1.62,2.01447828,0.000157653
1.6,2.01331447,0
1.58,2.01261238,0.000237742
1.56,2.01075878,5.89E-05
1.54,2.01064959,0
1.52,2.00918706,0
1.5,2.00834537,0
1.48,2.00779079,0
1.46,2.0072307,0
1.44,2.00611717,0
1.42,2.00482446,0
1.4,2.00638323,0
1.38,2.00502687,0
1.36,2.00112773,0
1.34,2.00238456,0
1.32,2.00073927,0
1.3,2.00018987,0
1.28,1.99846111,0
1.26,1.99953216,0
1.24,1.99778563,0
1.22,1.9968371,0
1.2,1.99544869,0
1.18,1.99408439,0
1.16,1.99329866,0
1.14,1.99273379,0
1.12,1.99113765,0
1.1,1.99093312,0
1.08,1.98987946,0
1.06,1.988701,0
1.04,1.98871531,0
1.02,1.98742636,0
1,1.98693152,0
