photon energy (eV),n,k
0.5,2.98,14.1
0.55,2.8275,12.76313
0.6,2.79,11.6
0.65,2.835,10.60688
0.7,2.93,9.78
0.75,3.040625,9.126875
0.8,3.14,8.61
0.85,3.180625,8.2075
0.9,3.19,7.88
0.95,3.18,7.57875
1,3.15,7.31
1.05,3.0975,7.06625
1.1,3.04,6.84
1.15,3,6.616875
1.2,2.96,6.41
1.25,2.908125,6.23375
1.3,2.85,6.07
1.35,2.7825,5.905625
1.4,2.72,5.74
1.45,2.675,5.56375
1.5,2.65,5.39
1.55,2.66,5.223125
1.6,2.68,5.08
1.65,2.69,4.9875
1.7,2.69,4.92
1.75,2.67,4.863125
1.8,2.64,4.81
1.85,2.60625,4.745
1.9,2.57,4.68
1.95,2.536875,4.6225
2,2.5,4.57
2.05,2.4525,4.524375
2.1,2.4,4.48
2.15,2.345625,4.431875
2.2,2.29,4.38
2.25,2.235,4.32125
2.3,2.18,4.26
2.35,2.12375,4.20125
2.4,2.07,4.14
2.45,2.0225,4.07125
2.5,1.98,4
2.55,1.943125,3.929375
2.6,1.91,3.86
2.65,1.878125,3.79375
2.7,1.85,3.73
2.75,1.82875,3.668125
2.8,1.81,3.61
2.85,1.79,3.5575
2.9,1.77,3.51
2.95,1.750625,3.46875
3,1.73,3.43
3.05,1.70625,3.390625
3.1,1.68,3.35
3.15,1.65,3.306875
3.2,1.62,3.26
3.25,1.59375,3.205625
3.3,1.57,3.15
3.35,1.54875,3.100625
3.4,1.53,3.05
3.45,1.51125,2.99125
3.5,1.5,2.93
3.55,1.505,2.868125
3.6,1.52,2.81
3.65,1.54375,2.759375
3.7,1.57,2.72
3.75,1.59125,2.700625
3.8,1.61,2.69
3.85,1.6275,2.6775
3.9,1.64,2.67
3.95,1.643125,2.6725
4,1.64,2.68
4.05,1.6325,2.69
4.1,1.62,2.7
4.15,1.603125,2.706875
4.2,1.58,2.71
4.25,1.54625,2.706875
4.3,1.51,2.7
4.35,1.480625,2.69125
4.4,1.45,2.68
4.45,1.41,2.666875
4.5,1.37,2.65
4.55,1.339375,2.625625
4.6,1.31,2.6
4.65,1.275,2.58125
4.7,1.24,2.56
4.75,1.20875,2.526875
4.8,1.18,2.49
4.85,1.153125,2.455
4.9,1.13,2.42
4.95,1.11375,2.384375
5,1.1,2.35
5.05,1.085,2.32
5.1,1.07,2.29
5.15,1.054375,2.255625
5.2,1.04,2.22
5.25,1.029375,2.184375
5.3,1.02,2.15
5.35,1.009375,2.119375
5.4,1,2.09
5.45,0.994375,2.059375
5.5,0.99,2.03
5.55,0.985,2.005
5.6,0.98,1.98
5.65,0.975,1.950625
5.7,0.97,1.92
5.75,0.96375,1.88875
5.8,0.96,1.86
5.85,0.965625,1.83875
5.9,0.97,1.82
5.95,0.96125,1.800625
6,0.95,1.78
6.05,0.94375,1.755625
6.1,0.94,1.73
6.15,0.939375,1.705
6.2,0.94,1.68
6.25,0.94,1.654375
6.3,0.94,1.63
6.35,0.939375,1.61
6.4,0.94,1.59
6.45,0.943125,1.5675
6.5,0.95,1.54
