photon energy (eV),n,k
0.05,6.205879,8.03102
0.1,6.205879,8.03102
0.5,6.205879,8.03102
1.000000,6.205879,8.03102
1.157895,5.119723,7.1541
1.315789,4.354371,6.520982
1.473684,3.794571,6.043732
1.631579,3.372313,5.671801
1.789474,3.045519,5.374186
1.947368,2.787073,5.130868
2.105263,2.578871,4.928377
2.263158,2.408457,4.757322
2.421052,2.267028,4.610973
2.578947,2.148221,4.484377
2.736842,2.047343,4.373818
2.894737,1.960868,4.276451
3.052631,1.886102,4.190061
3.210526,1.820962,4.112902
3.368421,1.763813,4.043578
3.526316,1.713357,3.980959
3.68421,1.668553,3.924122
3.842105,1.628557,3.872305
4.000000,1.592679,3.824873
