photon energy (eV),n,k
0.5,1.37,13.5
0.525,1.358477,12.82324
0.55,1.345,12.11719
0.575,1.339336,11.43066
0.6,1.35625,10.82687
0.625,1.385908,10.30191
0.65,1.417109,9.843125
0.675,1.449287,9.408067
0.7,1.48,8.99
0.725,1.502998,8.601181
0.75,1.539375,8.236485
0.775,1.590547,7.895127
0.8,1.62125,7.58375
0.825,1.647227,7.292109
0.85,1.685313,7.009687
0.875,1.715809,6.738831
0.9,1.74,6.48
0.925,1.78216,6.234348
0.95,1.832395,6.002177
0.975,1.886432,5.783916
1,1.94,5.58
1.025,1.988828,5.390859
1.05,2.041875,5.205625
1.075,2.098984,5.025078
1.1,2.16,4.85
1.125,2.224766,4.681172
1.15,2.293125,4.519375
1.175,2.364922,4.365391
1.2,2.44,4.22
1.225,2.517812,4.086328
1.25,2.59875,3.961875
1.275,2.682812,3.846484
1.3,2.77,3.74
1.325,2.862266,3.637969
1.35,2.956875,3.54625
1.375,3.053047,3.466406
1.4,3.15,3.4
1.425,3.250469,3.353672
1.45,3.34875,3.321875
1.475,3.442657,3.304141
1.5,3.53,3.3
1.525,3.604297,3.316406
1.55,3.669375,3.3425
1.575,3.724766,3.374844
1.6,3.77,3.41
1.625,3.800703,3.436719
1.65,3.821875,3.4625
1.675,3.834609,3.487031
1.7,3.84,3.51
1.725,3.839531,3.531875
1.75,3.83375,3.55125
1.775,3.823594,3.5675
1.8,3.81,3.58
1.825,3.794297,3.586172
1.85,3.776875,3.588125
1.875,3.758516,3.586015
1.9,3.74,3.58
1.925,3.722109,3.568672
1.95,3.705625,3.554375
1.975,3.691328,3.537891
2,3.68,3.52
2.025,3.673594,3.501875
2.05,3.67125,3.48375
2.075,3.673281,3.46625
2.1,3.68,3.45
2.125,3.697578,3.428984
2.15,3.718125,3.413125
2.175,3.739609,3.405703
2.2,3.76,3.41
2.225,3.779219,3.448047
2.25,3.7925,3.496875
2.275,3.797031,3.552266
2.3,3.79,3.61
2.325,3.75375,3.662735
2.35,3.70625,3.710625
2.375,3.650625,3.750703
2.4,3.59,3.78
2.425,3.530625,3.782266
2.45,3.47125,3.773125
2.475,3.41375,3.754922
2.5,3.36,3.73
2.525,3.318125,3.703047
2.55,3.28125,3.673125
2.575,3.24875,3.64164
2.6,3.22,3.61
2.625,3.193203,3.583515
2.65,3.169375,3.558125
2.675,3.14836,3.533672
2.7,3.13,3.51
2.725,3.114532,3.486953
2.75,3.10125,3.464375
2.775,3.089844,3.442109
2.8,3.08,3.42
2.825,3.070625,3.396328
2.85,3.0625,3.373125
2.875,3.055625,3.350859
2.9,3.05,3.33
2.925,3.046406,3.312969
2.95,3.04375,3.2975
2.975,3.041719,3.283281
3,3.04,3.27
3.025,3.036328,3.256562
3.05,3.033125,3.24375
3.075,3.030859,3.231563
3.1,3.03,3.22
3.125,3.03375,3.207891
3.15,3.03875,3.196875
3.175,3.044375,3.187422
3.2,3.05,3.18
3.225,3.053437,3.177422
3.25,3.05625,3.176875
3.275,3.058437,3.177891
3.3,3.06,3.18
3.325,3.060547,3.181563
3.35,3.060625,3.18375
3.375,3.06039,3.186563
3.4,3.06,3.19
3.425,3.060391,3.194063
3.45,3.060625,3.19875
3.475,3.060547,3.204062
3.5,3.06,3.21
3.525,3.058047,3.216953
3.55,3.055625,3.224375
3.575,3.052891,3.23211
3.6,3.05,3.24
3.625,3.047109,3.247109
3.65,3.044375,3.254375
