photon energy (eV),n,k
0.5,4.03,9.64
0.55,3.9,8.92
0.6,3.84,8.35
0.65,3.69,7.92
0.7,3.59,7.48
0.75,3.49,7.13
0.8,3.38,6.82
0.85,3.27,6.51
0.9,3.18,6.23
0.95,3.11,5.98
1,3.06,5.74
1.05,3.02125,5.546875
1.1,2.97,5.38
1.15,2.91125,5.233125
1.2,2.85,5.1
1.25,2.793125,4.97125
1.3,2.74,4.85
1.35,2.695625,4.734375
1.4,2.65,4.63
1.45,2.590625,4.54625
1.5,2.53,4.47
1.55,2.481875,4.388125
1.6,2.43,4.31
1.65,2.3575,4.245625
1.7,2.28,4.18
1.75,2.208125,4.09875
1.8,2.14,4.01
1.85,2.0775,3.915
1.9,2.02,3.82
1.95,1.966875,3.73375
2,1.92,3.65
2.05,1.881875,3.56375
2.1,1.85,3.48
2.15,1.82375,3.403125
2.2,1.8,3.33
2.25,1.774375,3.25875
2.3,1.75,3.19
2.35,1.729375,3.124375
2.4,1.71,3.06
2.45,1.68875,2.994375
2.5,1.67,2.93
2.55,1.658125,2.868125
2.6,1.65,2.81
2.65,1.644375,2.75875
2.7,1.64,2.71
2.75,1.635,2.659375
2.8,1.63,2.61
2.85,1.625,2.56375
2.9,1.62,2.52
2.95,1.614375,2.479375
3,1.61,2.44
3.05,1.609375,2.39875
3.1,1.61,2.36
3.15,1.61,2.329375
3.2,1.61,2.3
3.25,1.609375,2.265
3.3,1.61,2.23
3.35,1.614375,2.199375
3.4,1.62,2.17
3.45,1.625,2.13875
3.5,1.63,2.11
3.55,1.634375,2.089375
3.6,1.64,2.07
3.65,1.64875,2.044375
3.7,1.66,2.02
3.75,1.674375,2.0025
3.8,1.69,1.99
3.85,1.70625,1.983125
3.9,1.72,1.98
3.95,1.72625,1.978125
4,1.73,1.98
4.05,1.735625,1.989375
4.1,1.74,2
4.15,1.74125,2.005
4.2,1.74,2.01
4.25,1.73625,2.01875
4.3,1.73,2.03
4.35,1.721875,2.045625
4.4,1.71,2.06
4.45,1.69125,2.065625
4.5,1.67,2.07
4.55,1.65,2.08
4.6,1.63,2.09
4.65,1.61125,2.095625
4.7,1.59,2.1
4.75,1.56125,2.105625
4.8,1.53,2.11
4.85,1.500625,2.11125
4.9,1.47,2.11
4.95,1.435625,2.106875
5,1.4,2.1
5.05,1.364375,2.08625
5.1,1.33,2.07
5.15,1.299375,2.05625
5.2,1.27,2.04
5.25,1.239375,2.01625
5.3,1.21,1.99
5.35,1.18375,1.965625
5.4,1.16,1.94
5.45,1.13875,1.91
5.5,1.12,1.88
5.55,1.104375,1.854375
5.6,1.09,1.83
5.65,1.074375,1.805
5.7,1.06,1.78
5.75,1.049375,1.755625
5.8,1.04,1.73
5.85,1.029375,1.699375
5.9,1.02,1.67
5.95,1.013125,1.645625
6,1.01,1.63
6.05,1.006792,1.6105
6.1,1.003833,1.58825
6.15,1.001458,1.564375
6.2,1,1.54
6.25,1.001797,1.518672
6.3,1.004375,1.498125
6.35,1.007266,1.478516
6.4,1.01,1.46
6.45,1.012109,1.442735
6.5,1.013125,1.426875
