photon energy (eV),n,k
0.5,2.41,9.97
0.55,2.33,9.12
0.6,2.21,8.37
0.65,2.11,7.68
0.7,2.02,7.04
0.75,2,6.46
0.8,2,5.95
0.85,2.01,5.51
0.9,2.03,5.1
0.95,2.05,4.74
1,2.09,4.41
1.05,2.12,4.11
1.1,2.15,3.84
1.15,2.17,3.59
1.2,2.16,3.35
1.25,2.19,3.04
1.3,2.25,2.77
1.35,2.35,2.48
1.4,2.49,2.23
1.45,2.65,2.01
1.5,2.84,1.8
1.55,3.096666,1.668333
1.6,3.36,1.62
1.65,3.57,1.66
1.7,3.7,1.75
1.75,3.76,1.8
1.8,3.78,1.83
1.85,3.79,1.81
1.9,3.81,1.75
1.95,3.88,1.67
2,3.98,1.6
2.05,4.11,1.555
2.1,4.26,1.54
2.15,4.42125,1.5675
2.2,4.58,1.62
2.25,4.71375,1.679375
2.3,4.84,1.76
2.35,4.974999,1.870625
2.4,5.1,2.01
2.45,5.20125,2.183125
2.5,5.28,2.38
2.55,5.335001,2.588125
2.6,5.36,2.82
2.65,5.350625,3.102501
2.7,5.3,3.38
2.75,5.19625,3.59
2.8,5.05,3.78
2.85,4.871876,3.991249
2.9,4.65,4.18
2.95,4.35875,4.326875
3,4.05,4.4
3.05,3.75625,4.334375
3.1,3.51,4.21
3.15,3.375,4.078125
3.2,3.29,3.96
3.25,3.22,3.91
3.3,3.15,3.88
3.35,3.04,3.8425
3.4,2.93,3.79
3.45,2.84875,3.693125
3.5,2.79,3.59
3.55,2.7625,3.5125
3.6,2.75,3.45
3.65,2.7375,3.404375
3.7,2.73,3.37
3.75,2.72875,3.340625
3.8,2.73,3.32
3.85,2.73125,3.31
3.9,2.73,3.31
3.95,2.724375,3.320625
4,2.71,3.34
4.05,2.680625,3.369375
4.1,2.64,3.4
4.15,2.589375,3.421875
4.2,2.53,3.44
4.25,2.4625,3.459375
4.3,2.39,3.47
4.35,2.314375,3.460625
4.4,2.24,3.44
4.45,2.171875,3.4125
4.5,2.11,3.38
4.55,2.05625,3.345625
4.6,2.01,3.31
4.65,1.9725,3.27375
4.7,1.94,3.24
4.75,1.909375,3.213125
4.8,1.88,3.19
4.85,1.85125,3.16875
4.9,1.82,3.15
4.95,1.781875,3.135625
5,1.74,3.12
5.05,1.694375,3.0975
5.1,1.65,3.07
5.15,1.613125,3.035625
5.2,1.58,3
5.25,1.549375,2.969375
5.3,1.52,2.94
5.35,1.489375,2.909375
5.4,1.46,2.88
5.45,1.434375,2.855
5.5,1.41,2.83
5.55,1.384375,2.800625
5.6,1.36,2.77
5.65,1.34,2.74
5.7,1.32,2.71
5.75,1.294375,2.679375
5.8,1.27,2.65
5.85,1.254375,2.625
5.9,1.24,2.6
5.95,1.223125,2.5725
6,1.2,2.54
6.05,1.179875,2.511708
6.1,1.162,2.486417
6.15,1.145625,2.462917
6.2,1.13,2.44
6.25,1.111719,2.413437
6.3,1.09375,2.38625
6.35,1.076406,2.358438
6.4,1.06,2.33
6.45,1.044844,2.300938
6.5,1.03125,2.27125
