photon energy (eV),n,k
0.5,4.1,11.44
0.55,3.945625,10.63688
0.6,3.8,9.96
0.65,3.261611,9.836403
0.7,3.038068,9.410989
0.75,3.001193,8.831679
0.8,2.949509,8.332067
0.85,2.860724,7.936326
0.9,2.787078,7.583685
0.95,2.7293,7.275399
1,2.679111,7.00139
1.05,2.616123,6.749094
1.1,2.540223,6.514457
1.15,2.466173,6.299675
1.2,2.400106,6.103319
1.25,2.348156,5.923958
1.3,2.349565,5.761533
1.35,2.350159,5.61212
1.4,2.311263,5.472562
1.45,2.200538,5.340015
1.5,2.082121,5.214392
1.55,2.014081,5.093524
1.6,1.974319,4.978076
1.65,1.941803,4.869014
1.7,1.902401,4.767202
1.75,1.866608,4.669277
1.8,1.837469,4.571035
1.85,1.813076,4.475248
1.9,1.792338,4.385938
1.95,1.773848,4.304184
2,1.75427,4.225546
2.05,1.726494,4.145302
2.1,1.69668,4.066112
2.15,1.673256,3.99105
2.2,1.658587,3.92101
2.25,1.64347,3.853351
2.3,1.617553,3.785291
2.35,1.587592,3.718661
2.4,1.558918,3.654907
2.45,1.535173,3.595024
2.5,1.52,3.54
2.55,1.499026,3.482723
2.6,1.474894,3.424637
2.65,1.451105,3.367486
2.7,1.429733,3.312518
2.75,1.41,3.26
2.8,1.393861,3.212413
2.85,1.378884,3.166867
2.9,1.363975,3.122114
2.95,1.348044,3.076908
3,1.33,3.03
3.05,1.316247,2.986595
3.1,1.304579,2.945794
3.15,1.290495,2.906372
3.2,1.274589,2.867824
3.25,1.26,2.83
3.3,1.250032,2.791976
3.35,1.242453,2.75466
3.4,1.237083,2.718694
3.45,1.233242,2.683969
3.5,1.23,2.65
3.55,1.226471,2.615891
3.6,1.222118,2.582824
3.65,1.214491,2.552083
3.7,1.205492,2.523045
3.75,1.200141,2.493892
3.8,1.203143,2.463092
3.85,1.208071,2.432239
3.9,1.210831,2.401746
3.95,1.210985,2.372288
4,1.209622,2.34507
4.05,1.206782,2.321571
4.1,1.202286,2.299036
4.15,1.194739,2.27483
4.2,1.185902,2.249582
4.25,1.179386,2.225536
4.3,1.178177,2.204134
4.35,1.1795,2.183935
4.4,1.184484,2.163515
4.45,1.189116,2.144085
4.5,1.188377,2.127095
4.55,1.177215,2.113892
4.6,1.162977,2.102228
4.65,1.150213,2.091251
4.7,1.138587,2.079949
4.75,1.128302,2.066947
4.8,1.120193,2.050719
4.85,1.111815,2.033492
4.9,1.10095,2.016525
4.95,1.088259,1.999843
5,1.074247,1.983791
5.05,1.059154,1.968473
5.1,1.043254,1.953114
5.15,1.026261,1.937142
5.2,1.009475,1.920437
5.25,0.994888,1.902695
5.3,0.983174,1.883772
5.35,0.972195,1.864033
5.4,0.959623,1.843555
5.45,0.947027,1.82264
5.5,0.935963,1.801802
5.55,0.927097,1.781156
5.6,0.92,1.76
5.65,0.916037,1.736981
5.7,0.912512,1.713744
5.75,0.907061,1.691348
5.8,0.898834,1.6703
5.85,0.89,1.65
5.9,0.881368,1.630348
5.95,0.873749,1.611243
6,0.867952,1.592583
6.05,0.863749,1.574412
6.1,0.860912,1.556772
6.15,0.859211,1.539707
6.2,0.858421,1.523261
6.25,0.858313,1.507478
6.3,0.858657,1.492398
6.35,0.859225,1.478066
6.4,0.859791,1.464529
6.45,0.860125,1.451825
6.5,0.86,1.44
