photon energy (eV),n,k
0.5,4.2,16.1
0.55,3.97,14.7
0.6,3.87,13.5
0.65,3.77,12.6
0.7,3.67,11.7
0.75,3.63,11
0.8,3.63,10.3
0.85,3.64,9.81
0.9,3.62,9.36
0.95,3.69,8.94
1,3.71,8.67
1.05,3.705227,8.451596
1.1,3.667061,8.262453
1.15,3.599651,8.094261
1.2,3.507148,7.938704
1.25,3.390627,7.78491
1.3,3.260769,7.630011
1.35,3.132685,7.470117
1.4,3.010415,7.305285
1.45,2.894074,7.136986
1.5,2.785246,6.96725
1.55,2.685421,6.801052
1.6,2.59505,6.640725
1.65,2.5096,6.483036
1.7,2.426399,6.326744
1.75,2.353489,6.173856
1.8,2.29847,6.025032
1.85,2.250964,5.882925
1.9,2.202153,5.751435
1.95,2.156467,5.627814
2,2.115602,5.510406
2.05,2.07927,5.399506
2.1,2.048357,5.295231
2.15,2.020788,5.197586
2.2,1.992339,5.107434
2.25,1.963908,5.023285
2.3,1.939835,4.9414
2.35,1.920865,4.861032
2.4,1.904788,4.784137
2.45,1.890567,4.711901
2.5,1.87733,4.647034
2.55,1.864184,4.591758
2.6,1.848453,4.547043
2.65,1.82763,4.516929
2.7,1.801262,4.491099
2.75,1.767115,4.45914
2.8,1.727268,4.425732
2.85,1.682826,4.39325
2.9,1.634827,4.360171
2.95,1.585294,4.325195
3,1.533283,4.287282
3.05,1.475623,4.244974
3.1,1.414052,4.197926
3.15,1.353635,4.146124
3.2,1.2967,4.089964
3.25,1.243968,4.031136
3.3,1.196282,3.970581
3.35,1.151197,3.907667
3.4,1.10709,3.842196
3.45,1.067814,3.775802
3.5,1.036875,3.71
3.55,1.011458,3.644198
3.6,0.991709,3.577213
3.65,0.973561,3.512073
3.7,0.950551,3.453125
3.75,0.926959,3.397513
3.8,0.909182,3.341603
3.85,0.895631,3.285201
3.9,0.881796,3.22799
3.95,0.867531,3.17126
4,0.854879,3.118718
4.05,0.844879,3.071405
4.1,0.839483,3.027259
4.15,0.839536,2.985189
4.2,0.839701,2.942104
4.25,0.836377,2.894958
4.3,0.829462,2.848133
4.35,0.815316,2.805267
4.4,0.801081,2.763529
4.45,0.794417,2.720714
4.5,0.79067,2.678716
4.55,0.785236,2.639768
4.6,0.780776,2.60254
4.65,0.782362,2.564731
4.7,0.787612,2.527088
4.75,0.790547,2.491951
4.8,0.79043,2.459171
4.85,0.79,2.426091
4.9,0.79,2.392559
4.95,0.79,2.363008
5,0.79,2.339519
5.05,0.79,2.316008
5.1,0.79,2.288205
5.15,0.789983,2.259369
5.2,0.789384,2.22997
5.25,0.789846,2.202692
5.3,0.794135,2.182493
5.35,0.799027,2.164346
5.4,0.80063,2.142106
5.45,0.800275,2.118343
5.5,0.8,2.096949
5.55,0.8,2.078315
5.6,0.800377,2.062643
5.65,0.800587,2.048844
5.7,0.798648,2.032957
5.75,0.794012,2.013885
5.8,0.788997,1.996265
5.85,0.784741,1.982373
5.9,0.779182,1.968082
5.95,0.771281,1.951317
6,0.76,1.93
