photon energy (eV),n,k
1.5,3.701329,0.015006
1.525,3.71198,0.00203
1.55,3.721047,0.005995
1.575,3.728008,0.005216
1.6,3.759829,0.000521
1.625,3.760386,0.000879
1.65,3.757385,0.001659
1.675,3.757212,0.001179
1.7,3.782431,0.000543
1.725,3.784816,0.003219
1.75,3.798174,0.002691
1.775,3.808949,0.001552
1.8,3.808949,0.001552
1.825,3.834386,0.002439
1.85,3.845924,0.002419
1.875,3.845924,0.002419
1.9,3.845924,0.002419
1.925,3.884592,0.002097
1.95,3.884592,0.002097
1.975,3.884592,0.002097
2,3.884592,0.002097
2.025,3.884592,0.002097
2.05,3.95838,0.003955
2.075,3.97478,0.002518
2.1,3.991577,0.003704
2.125,4.008075,0.003923
2.15,4.026725,0.004736
2.175,4.045,0.005096
2.2,4.064253,0.005999
2.225,4.082774,0.006735
2.25,4.1034,0.008333
2.275,4.12564,0.006594
2.3,4.145647,0.009904
2.325,4.16996,0.008808
2.35,4.193399,0.009951
2.375,4.214923,0.009854
2.4,4.240698,0.011301
2.425,4.269934,0.014652
2.45,4.296065,0.020586
2.475,4.326155,0.023176
2.5,4.359189,0.024016
2.525,4.38774,0.028475
2.55,4.4217,0.032639
2.575,4.456843,0.034596
2.6,4.492474,0.040159
2.625,4.529305,0.045627
2.65,4.570951,0.048014
2.675,4.612227,0.056451
2.7,4.653687,0.0622
2.725,4.699671,0.070183
2.75,4.745595,0.080827
2.775,4.791558,0.089766
2.8,4.844723,0.09658
2.825,4.902706,0.102704
2.85,4.956607,0.116552
2.875,5.017847,0.127413
2.9,5.087041,0.139216
2.925,5.155517,0.149936
2.95,5.225241,0.17983
2.975,5.301233,0.198318
3,5.383459,0.220714
3.025,5.477077,0.253658
3.05,5.5763,0.268734
3.075,5.67583,0.319582
3.1,5.787914,0.380924
3.125,5.913385,0.458601
3.15,6.04644,0.530793
3.175,6.203672,0.625263
3.2,6.360344,0.764793
3.225,6.513689,0.904995
3.25,6.673619,1.128017
3.275,6.800922,1.415246
3.3,6.851887,1.756979
3.325,6.813747,2.106645
3.35,6.636778,2.424252
3.375,6.426715,2.660904
3.4,6.18415,2.801346
3.425,5.990997,2.866705
3.45,5.834812,2.884276
3.475,5.687397,2.887731
3.5,5.603267,2.888021
3.525,5.51039,2.889932
3.55,5.457016,2.90003
3.575,5.408185,2.913052
3.6,5.368095,2.941528
3.625,5.328523,2.960886
3.65,5.303593,2.970189
3.675,5.269576,3.011435
3.7,5.239826,3.042173
3.725,5.221914,3.075669
3.75,5.208463,3.107109
3.775,5.198955,3.148243
3.8,5.188462,3.193011
3.825,5.172728,3.232049
3.85,5.161982,3.286987
3.875,5.149319,3.327956
3.9,5.125154,3.387868
3.925,5.134149,3.456394
3.95,5.139838,3.529199
3.975,5.147456,3.620909
4,5.124614,3.701371
4.025,5.120859,3.792968
4.05,5.120612,3.9232
4.075,5.101899,4.040287
4.1,5.069976,4.179571
4.125,5.035186,4.352293
4.15,4.975198,4.526185
4.175,4.881763,4.703593
4.2,4.71896,4.888432
4.225,4.537279,5.070127
4.25,4.306113,5.21006
4.275,4.048222,5.288648
4.3,3.796382,5.313011
4.325,3.575756,5.293797
4.35,3.359313,5.264399
4.375,3.183239,5.215312
4.4,3.02152,5.14833
4.425,2.880156,5.091894
4.45,2.704312,5.029664
4.475,2.576036,4.941581
4.5,2.448796,4.8501
4.525,2.352166,4.768384
4.55,2.265853,4.667546
4.575,2.172899,4.573357
4.6,2.110722,4.468942
4.625,2.056021,4.39534
4.65,2.016676,4.309268
4.675,1.97267,4.226438
4.7,1.917782,4.146703
