photon energy (eV),n,k
1,1.998,0
1.05,1.999,0
1.1,2,0
1.15,2.001,0
1.2,2.002,0
1.25,2.003,0
1.3,2.004,0
1.35,2.005,0
1.4,2.006,0
1.45,2.007,0
1.5,2.008,0
1.55,2.008937,0
1.6,2.01,0
1.65,2.011437,0
1.7,2.013,0
1.75,2.0145,0
1.8,2.016,0
1.85,2.0175,0
1.9,2.019,0
1.95,2.0205,0
2,2.022,0
2.05,2.023438,0
2.1,2.025,0
2.15,2.026937,0
2.2,2.029,0
2.25,2.031,0
2.3,2.033,0
2.35,2.035,0
2.4,2.037,0
2.45,2.039,0
2.5,2.041,0
2.55,2.042938,0
2.6,2.045,0
2.65,2.047437,0
2.7,2.05,0
2.75,2.0525,0
2.8,2.055,0
2.85,2.057437,0
2.9,2.06,0
2.95,2.062937,0
3,2.066,0
3.05,2.069,0
3.1,2.072,0
3.15,2.074938,0
3.2,2.078,0
3.25,2.081438,0
3.3,2.085,0
3.35,2.0885,0
3.4,2.092,0
3.45,2.095438,0
3.5,2.099,0
3.55,2.103,0
3.6,2.107,0
3.65,2.110438,0
3.7,2.114,0
3.75,2.118375,0
3.8,2.123,0
3.85,2.1275,0
3.9,2.132,0
3.95,2.136438,0
4,2.141,0
4.05,2.145938,0
4.1,2.151,0
4.15,2.155875,0
4.2,2.161,0
4.25,2.166875,0
4.3,2.173,0
4.35,2.178937,1.4e-005
4.4,2.185,0
4.45,2.191395,9.5e-005
4.5,2.198,0.00022
4.55,2.20474,0.000325
4.6,2.21168,0.000454
4.65,2.218844,0.000623
4.7,2.22628,0.000871
4.75,2.234039,0.001242
4.8,2.242128,0.001733
4.85,2.250578,0.002366
4.9,2.259376,0.003114
4.95,2.268509,0.003992
5,2.278,0.0049
5.05,2.287877,0.005658
5.1,2.29812,0.00652
5.15,2.30872,0.007641
5.2,2.31968,0.009132
5.25,2.331,0.01116
5.3,2.34268,0.013709
5.35,2.35472,0.016856
5.4,2.36712,0.020494
5.45,2.379869,0.024571
5.5,2.393,0.029
5.55,2.406566,0.033607
5.6,2.420488,0.038608
5.65,2.43471,0.044158
5.7,2.449224,0.050264
5.75,2.464014,0.056958
5.8,2.479048,0.06432
5.85,2.494302,0.072406
5.9,2.509736,0.08132
5.95,2.525259,0.091125
6,2.541,0.102
6.05,2.557196,0.114205
6.1,2.573424,0.12756
6.15,2.589408,0.141922
6.2,2.604952,0.15744
6.25,2.619776,0.174266
6.3,2.633856,0.192248
6.35,2.64704,0.211386
6.4,2.659432,0.231376
6.45,2.671135,0.252011
6.5,2.682,0.273
6.55,2.691839,0.293884
6.6,2.700864,0.314952
6.65,2.709204,0.336372
6.7,2.716912,0.358056
6.75,2.724084,0.379972
6.8,2.73072,0.40212
6.85,2.736868,0.424484
6.9,2.74248,0.44708
6.95,2.747475,0.469965
7,2.752,0.493
7.05,2.756291,0.51595
7.1,2.760008,0.539152
7.15,2.762934,0.56274
7.2,2.764944,0.587096
7.25,2.765846,0.612756
7.3,2.765624,0.639392
7.35,2.764174,0.667108
7.4,2.761568,0.695144
7.45,2.757902,0.722998
7.5,2.753,0.75
7.55,2.746614,0.775047
7.6,2.739064,0.798928
7.65,2.730576,0.822112
7.7,2.721192,0.844464
7.75,2.711,0.866
7.8,2.700088,0.886736
7.85,2.688544,0.906688
7.9,2.676456,0.925872
7.95,2.663912,0.944304
8,2.651,0.962
