photon energy (eV),n,k
0.6,3.44,0
0.7,3.45,0
0.8,3.48,0
0.9,3.5,0
1,3.54,0
1.1,3.57,0
1.2,3.61,0
1.3,3.68,0
1.4,3.77,0.0401
1.5,3.86,0.0812
1.6,3.93,0.136
1.7,4.01,0.199
1.8,4.09,0.271
1.9,4.17,0.363
2,4.23,0.461
2.1,4.277,0.557
2.2,4.36,0.69
2.3,4.42,0.827
2.4,4.46,0.969
2.5,4.482,1.119
2.6,4.49,1.28
2.7,4.487,1.456
2.8,4.47,1.64
2.9,4.437,1.83
3,4.38,2.02
3.1,4.286,2.206
3.2,4.17,2.38
3.3,4.044,2.529
3.4,3.9,2.66
3.5,3.729,2.78
3.6,3.55,2.88
3.7,3.379,2.95
3.8,3.21,3
3.9,3.038,3.039
4,2.87,3.06
4.1,2.71,3.057
4.2,2.56,3.04
4.3,2.425,3.017
4.4,2.3,2.99
4.5,2.182,2.962
4.6,2.07,2.93
4.7,1.961,2.892
4.8,1.86,2.85
4.9,1.771,2.806
5,1.69,2.76
5.1,1.613,2.712
5.2,1.54,2.662
5.3,1.472,2.611
5.4,1.409,2.561
5.5,1.35,2.51
5.6,1.295,2.462
5.7,1.243,2.416
5.8,1.195,2.37
5.9,1.151,2.324
6,1.110999,2.277999
