photon energy (eV),n,k
1,3.62,3.52
1.05,3.5425,3.459375
1.1,3.47,3.4
1.15,3.405,3.345625
1.2,3.35,3.3
1.25,3.314375,3.266875
1.3,3.28,3.25
1.35,3.2325,3.259375
1.4,3.17,3.28
1.45,3.083125,3.303125
1.5,2.98,3.32
1.55,2.860625,3.316875
1.6,2.74,3.3
1.65,2.63625,3.27125
1.7,2.54,3.23
1.75,2.44625,3.173125
1.8,2.36,3.11
1.85,2.285625,3.049375
1.9,2.22,2.99
1.95,2.1625,2.934375
2,2.11,2.88
2.05,2.05875,2.824375
2.1,2.01,2.77
2.15,1.9625,2.72
2.2,1.92,2.67
2.25,1.8875,2.614375
2.3,1.86,2.56
2.35,1.833125,2.513125
2.4,1.81,2.47
2.45,1.79375,2.4275
2.5,1.78,2.39
2.55,1.765625,2.363125
2.6,1.75,2.34
2.65,1.73,2.314375
2.7,1.71,2.29
2.75,1.695625,2.269375
2.8,1.68,2.25
2.85,1.655625,2.23
2.9,1.63,2.21
2.95,1.609375,2.18875
3,1.59,2.17
3.05,1.570625,2.159375
3.1,1.55,2.15
3.15,1.52625,2.135625
3.2,1.5,2.12
3.25,1.47125,2.105
3.3,1.44,2.09
3.35,1.405625,2.07625
3.4,1.37,2.06
3.45,1.334375,2.03625
3.5,1.3,2.01
3.55,1.27,1.985625
3.6,1.24,1.96
3.65,1.205,1.93125
3.7,1.17,1.9
3.75,1.13875,1.8675
3.8,1.11,1.83
3.85,1.0825,1.783125
3.9,1.06,1.73
3.95,1.046875,1.66875
4,1.04,1.61
4.05,1.038125,1.568125
4.1,1.04,1.53
4.15,1.041875,1.484375
4.2,1.05,1.44
4.25,1.07375,1.401875
4.3,1.1,1.37
4.35,1.116875,1.346875
4.4,1.13,1.33
4.45,1.140625,1.319375
4.5,1.15,1.31
4.55,1.160625,1.295625
4.6,1.17,1.28
4.65,1.174375,1.264375
4.7,1.18,1.25
4.75,1.195,1.23875
4.8,1.21,1.23
4.85,1.215625,1.224375
4.9,1.22,1.22
4.95,1.23,1.215
5,1.24,1.21
5.05,1.245625,1.204375
5.1,1.25,1.2
5.15,1.25,1.19875
5.2,1.26,1.2
5.25,1.31625,1.20875
5.3,1.35,1.21
5.35,1.266875,1.178125
5.4,1.18,1.15
5.45,1.199375,1.165
5.5,1.24,1.19
5.55,1.244375,1.2025
5.6,1.24,1.21
5.65,1.23625,1.210625
5.7,1.23,1.21
5.75,1.22125,1.215
5.8,1.21,1.22
5.85,1.195,1.22125
5.9,1.18,1.22
5.95,1.1675,1.21625
6,1.16,1.21
