photon energy (eV),n,k
0.5,2.72,9.73
0.55,2.66375,8.945
0.6,2.62,8.19
0.65,2.58625,7.48
0.7,2.56,6.83
0.75,2.53375,6.261875
0.8,2.52,5.77
0.85,2.529375,5.365625
0.9,2.56,5.02
0.95,2.61125,4.713125
1,2.69,4.43
1.05,2.813125,4.13375
1.1,2.95,3.87
1.15,3.074375,3.684375
1.2,3.19,3.54
1.25,3.296875,3.41
1.3,3.38,3.31
1.35,3.414375,3.253125
1.4,3.43,3.22
1.45,3.45625,3.196875
1.5,3.47,3.18
1.55,3.448125,3.16125
1.6,3.42,3.14
1.65,3.410625,3.109375
1.7,3.41,3.08
1.75,3.415,3.065
1.8,3.43,3.05
1.85,3.463125,3.021875
1.9,3.5,2.99
1.95,3.523125,2.955625
2,3.55,2.93
2.05,3.60125,2.92875
2.1,3.65,2.94
2.15,3.67125,2.95625
2.2,3.68,2.98
2.25,3.685,3.01125
2.3,3.68,3.05
2.35,3.66125,3.0975
2.4,3.63,3.15
2.45,3.5875,3.206875
2.5,3.53,3.26
2.55,3.449375,3.29875
2.6,3.36,3.33
2.65,3.274375,3.358125
2.7,3.19,3.38
2.75,3.11125,3.391875
2.8,3.03,3.4
2.85,2.933125,3.41375
2.9,2.84,3.42
2.95,2.773125,3.40125
3,2.71,3.38
3.05,2.63,3.380625
3.1,2.55,3.38
3.15,2.4825,3.35625
3.2,2.42,3.33
3.25,2.359375,3.32
3.3,2.3,3.31
3.35,2.239375,3.28625
3.4,2.18,3.26
3.45,2.124375,3.241875
3.5,2.07,3.22
3.55,2.015625,3.1825
3.6,1.96,3.14
3.65,1.9,3.100625
3.7,1.84,3.06
3.75,1.783125,3.015
3.8,1.73,2.97
3.85,1.683125,2.929375
3.9,1.64,2.89
3.95,1.5975,2.85
4,1.56,2.81
4.05,1.533125,2.77
4.1,1.51,2.73
4.15,1.485,2.69
4.2,1.46,2.65
4.25,1.433125,2.609375
4.3,1.41,2.57
4.35,1.4,2.535
4.4,1.39,2.5
4.45,1.365,2.46
4.5,1.34,2.42
4.55,1.328125,2.38375
4.6,1.32,2.35
4.65,1.30875,2.32125
4.7,1.3,2.29
4.75,1.30125,2.24125
4.8,1.3,2.2
4.85,1.281875,2.195
4.9,1.26,2.2
4.95,1.244375,2.195625
5,1.23,2.19
5.05,1.215,2.1825
5.1,1.2,2.18
5.15,1.18375,2.194375
5.2,1.17,2.21
5.25,1.164375,2.211875
5.3,1.16,2.21
5.35,1.15,2.21
5.4,1.14,2.21
5.45,1.134375,2.209375
5.5,1.13,2.21
5.55,1.124375,2.215
5.6,1.12,2.22
5.65,1.11875,2.22125
5.7,1.12,2.22
5.75,1.124375,2.215625
5.8,1.13,2.21
5.85,1.135625,2.205625
5.9,1.14,2.2
5.95,1.141875,2.191875
6,1.14,2.18
