photon energy (eV),n,k
0.5,1.4,10.5
0.525,1.279297,9.847266
0.55,1.211875,9.193125
0.575,1.181875,8.563515
0.6,1.21,7.96
0.625,1.299336,7.420273
0.65,1.396406,6.959531
0.675,1.486465,6.531647
0.7,1.59,6.13
0.725,1.726847,5.736456
0.75,1.926328,5.393672
0.775,2.16749,5.104854
0.8,2.27375,4.815625
0.825,2.423574,4.566807
0.85,2.784219,4.405234
0.875,3.022793,4.380869
0.9,3.11,4.44
0.925,3.145596,4.441855
0.95,3.153125,4.415937
0.975,3.151641,4.370118
1,3.14,4.32
1.025,3.13208,4.26512
1.05,3.11264,4.19776
1.075,3.08616,4.11984
1.1,3.05712,4.03328
1.125,3.03,3.94
1.15,3.01096,3.84472
1.175,3.00088,3.74336
1.2,3.00488,3.62888
1.225,3.02296,3.50576
1.25,3.05,3.39
1.275,3.08288,3.30696
1.3,3.12024,3.23448
1.325,3.15888,3.1604
1.35,3.19816,3.0828
1.375,3.24,3.01
1.4,3.28672,2.94744
1.425,3.33536,2.89352
1.45,3.38432,2.85112
1.475,3.43264,2.81864
1.5,3.48,2.79
1.525,3.52296,2.75464
1.55,3.56688,2.72312
1.575,3.61784,2.70024
1.6,3.67488,2.68888
1.625,3.73,2.69
1.65,3.77704,2.71056
1.675,3.81512,2.74168
1.7,3.83976,2.77984
1.725,3.85032,2.82088
1.75,3.85,2.86
1.775,3.84008,2.88824
1.8,3.82184,2.91072
1.825,3.7956,2.92904
1.85,3.7636,2.94288
1.875,3.73,2.95
1.9,3.7008,2.94632
1.925,3.6732,2.93656
1.95,3.64688,2.92296
1.975,3.62216,2.90712
2,3.6,2.89
2.025,3.58272,2.87288
2.05,3.56736,2.85704
2.075,3.55168,2.84664
2.1,3.53536,2.84008
2.125,3.52,2.83
2.15,3.50512,2.80296
2.175,3.49376,2.77368
2.2,3.4904,2.75144
2.225,3.4944,2.73848
2.25,3.5,2.73
2.275,3.50232,2.72416
2.3,3.50176,2.72088
2.325,3.49576,2.71984
2.35,3.48432,2.72008
2.375,3.47,2.72
2.4,3.4552,2.71776
2.425,3.4388,2.71328
2.45,3.41984,2.7056
2.475,3.39928,2.6944
2.5,3.38,2.68
2.525,3.36616,2.6596
2.55,3.35488,2.6392
2.575,3.34552,2.62552
2.6,3.33744,2.61824
2.625,3.33,2.61
2.65,3.32088,2.5908
2.675,3.31304,2.57
2.7,3.30936,2.55368
2.725,3.30952,2.54216
2.75,3.31,2.53
2.775,3.30496,2.5096
2.8,3.30088,2.4892
2.825,3.30288,2.47488
2.85,3.31096,2.46696
2.875,3.32,2.46
2.9,3.32408,2.44752
2.925,3.32784,2.43536
2.95,3.3332,2.42672
2.975,3.3408,2.42224
3,3.35,2.42
3.025,3.36192,2.41936
3.05,3.37416,2.41968
3.075,3.38416,2.41936
3.1,3.39192,2.41872
3.125,3.4,2.42
3.15,3.41192,2.42504
3.175,3.42416,2.43392
3.2,3.43512,2.44792
3.225,3.44384,2.46704
3.25,3.45,2.49
3.275,3.45352,2.51672
3.3,3.45256,2.54536
3.325,3.44488,2.57432
3.35,3.43016,2.60264
3.375,3.41,2.63
3.4,3.3856,2.65744
3.425,3.3564,2.68072
3.45,3.32048,2.69504
3.475,3.27976,2.70008
3.5,3.24,2.7
3.525,3.20952,2.6984
3.55,3.18256,2.6936
3.575,3.1572,2.68496
3.6,3.1328,2.67312
3.625,3.11,2.66
3.65,3.0888,2.648
3.675,3.0692,2.636
3.7,3.0512,2.62464
3.725,3.0348,2.61328
3.75,3.02,2.6
3.775,3.0068,2.58016
3.8,2.9952,2.55968
3.825,2.98552,2.54368
3.85,2.97744,2.53216
3.875,2.97,2.52
3.9,2.96088,2.50072
3.925,2.95304,2.48016
3.95,2.94872,2.46152
3.975,2.94824,2.44544
4,2.95,2.43
4.025,2.9528,2.41344
4.05,2.9572,2.39752
4.075,2.96352,2.38352
4.1,2.97144,2.37144
4.125,2.98,2.36
4.15,2.98688,2.34688
4.175,2.99504,2.33504
4.2,3.00704,2.32704
4.225,3.02288,2.32288
4.25,3.04,2.32
4.275,3.05656,2.31488
4.3,3.07248,2.31104
4.325,3.08616,2.31104
4.35,3.09792,2.31488
4.375,3.11,2.32
4.4,3.12536,2.32344
4.425,3.14168,2.32752
4.45,3.15832,2.33288
4.475,3.17464,2.34016
4.5,3.19,2.35
4.525,3.20264,2.36472
4.55,3.21432,2.38136
4.575,3.226,2.398
4.6,3.238,2.414
4.625,3.25,2.43
4.65,3.262,2.44544
4.675,3.274,2.46152
4.7,3.286,2.4792
4.725,3.298,2.4988
4.75,3.31,2.52
4.775,3.32256,2.5428
4.8,3.33448,2.5672
4.825,3.34448,2.59288
4.85,3.35256,2.62016
4.875,3.36,2.65
4.9,3.368,2.6836
4.925,3.376,2.7204
4.95,3.38464,2.76072
4.975,3.39328,2.80424
5,3.4,2.85
5.025,3.40352,2.89624
5.05,3.40256,2.944721
5.075,3.39488,2.99736
5.1,3.38016,3.05352
5.125,3.36,3.11
5.15,3.33504,3.16376
5.175,3.30592,3.215281
5.2,3.2736,3.26328
5.225,3.2384,3.30776
5.25,3.2,3.35
5.275,3.15784,3.39064
5.3,3.11312,3.430321
5.325,3.06712,3.47096
5.35,3.01984,3.51192
5.375,2.97,3.55
5.4,2.91584,3.58048
5.425,2.85912,3.60744
5.45,2.800801,3.63376
5.475,2.7412,3.65912
5.5,2.68,3.68
5.525,2.61608,3.69168
5.55,2.55184,3.69824
5.575,2.489201,3.7016
5.6,2.4288,3.7024
5.625,2.37,3.7
5.65,2.3128,3.6944
5.675,2.2572,3.6856
5.7,2.2032,3.67296
5.725,2.1508,3.65712
5.75,2.1,3.64
5.775,2.0508,3.62512
5.8,2.0032,3.60896
5.825,1.95688,3.58896
5.85,1.91216,3.56512
5.875,1.87,3.54
5.9,1.83216,3.516
5.925,1.79688,3.492
5.95,1.76352,3.468
5.975,1.73144,3.444
6,1.7,3.42
6.025,1.66912,3.3968
6.05,1.638815,3.3742
6.075,1.609104,3.352
6.1,1.58,3.33
6.125,1.551172,3.307891
6.15,1.523125,3.285625
6.175,1.496015,3.263047
6.2,1.47,3.24
6.225,1.445625,3.215547
6.25,1.4225,3.190625
6.275,1.400625,3.165391
6.3,1.38,3.14
6.325,1.360625,3.11461
6.35,1.3425,3.089375
6.375,1.325625,3.064453
6.4,1.31,3.04
6.425,1.295625,3.016172
6.45,1.2825,2.993125
6.475,1.270625,2.971016
6.5,1.26,2.95
